,Player,Matches,Innings,Not_Out,Runs,Ball_Faced,Hundreds,Fiftys,Zeros,Fours,Sixes,Average,Strike_Rate,Country,Highest_score
94,ALF de Mel,74,69,14,792,982,0,0,11,39,6,14.365,59.565,Sri,36
95,AM Bacher,32,46,1,1103,2527,0,6,3,134,3,23.395000000000003,49.015,South,96
96,AM Ellis,20,17,3,179,205,0,0,1,11,3,11.165,101.36500000000001,New,33
97,AM Fernando,31,37,19,69,227,0,0,11,12,1,1.61,123.06,Sri,11
98,AM Ghazanfar,12,5,1,43,39,0,0,1,2,4,9.165,127.85499999999999,Afghanistan,31
99,AM Hardie,28,20,3,345,339,0,0,1,34,7,21.085,105.63,Australia,44
100,AM McCarthy,1,1,0,5,8,0,0,0,0,0,5.0,62.5,West,5
101,AM Moir,17,30,8,327,41,0,0,5,17,2,14.86,26.82,New,41
102,AM Phangiso,37,16,2,100,191,0,0,3,6,0,6.845000000000001,57.755,South,20
103,AM Rahane,195,251,17,8414,14354,15,51,18,903,74,31.516666666666666,80.47333333333334,India,188
104,AMB Rowan,15,23,6,290,124,0,0,3,2,1,17.05,16.12,South,41
105,AME Roberts,103,94,20,993,1660,0,3,9,66,25,12.489999999999998,53.185,West,68
106,AMJ Hilditch,26,42,0,1299,2835,2,7,3,118,4,29.9,45.965,Australia,119
107,AMJG Amerasinghe,2,4,1,54,84,0,0,0,8,0,18.0,64.28,Sri,34
108,AN Cook,257,387,20,15737,30770,38,76,16,1815,21,32.333333333333336,79.01333333333334,England,294
109,AN Petersen,59,85,5,2611,4673,5,12,3,311,15,23.293333333333333,69.35000000000001,South,182
110,AN Ranasinghe,11,12,1,241,198,0,2,3,9,3,21.925,62.82,Sri,77
111,AO Malhotra,27,29,5,683,789,0,2,2,37,1,27.785,57.3,India,72
112,AP Devcich,16,15,0,306,332,0,2,2,42,2,22.735,108.785,New,59
113,AP Gurusinha,188,213,12,6354,12211,9,30,15,513,53,33.595,48.735,Sri,143
114,AP Kuiper,25,23,7,539,662,0,3,0,37,11,33.68,81.41,South,63
115,AP Sheahan,34,56,6,1669,2658,2,8,3,162,3,29.455,50.995,Australia,127
116,APB Tennekoon,4,4,0,137,207,0,1,1,16,0,34.25,66.18,Sri,59
117,APE Knott,115,163,19,4589,9117,5,31,10,508,7,26.375,62.7,England,135
118,APF Chapman,26,36,4,925,970,1,5,2,67,12,28.9,62.78,England,121
119,AR Adams,46,36,11,432,429,0,0,1,32,18,15.225,104.4,New,45
120,AR Border,429,517,83,17698,36136,30,102,22,1661,71,40.59,56.255,Australia,205
121,AR Caddick,116,133,30,1110,2901,0,0,25,121,10,11.41,48.69,England,49
122,AR Khurasiya,12,11,0,149,188,0,1,1,14,2,13.54,79.25,India,57
123,AR MacGibbon,26,46,5,814,0,0,3,7,64,4,19.85,0.0,New,66
124,AR Morris,46,79,3,3533,1728,12,12,4,229,10,46.48,44.79,Australia,206
125,AR Nurse,67,48,20,587,584,0,0,2,51,15,30.9,108.78,West,44
126,AR Patel,153,113,31,1964,2475,0,8,6,156,72,25.563333333333336,94.36333333333333,India,84
127,ARA Murray,10,14,1,289,0,1,1,1,23,0,22.23,0.0,South,109
128,ARC Fraser,42,20,9,141,208,0,0,1,15,2,12.81,67.78,England,38
129,ARM Opatha,5,3,0,29,55,0,0,1,3,0,9.66,52.72,Sri,18
130,ARS Silva,12,23,3,702,1712,1,5,2,59,3,35.1,41.0,Sri,109
131,AS Joseph,166,130,29,1388,2120,0,2,20,129,55,14.88,78.86,West,86
132,ASA Perera,23,17,3,272,405,0,1,1,27,4,21.689999999999998,63.94500000000001,Sri,56
133,AT Carey,161,163,24,4392,5713,3,23,10,442,47,27.183333333333334,87.8,Australia,156
134,AT Rayudu,61,55,15,1736,2193,3,10,5,150,30,28.775,81.52000000000001,India,124
135,ATW Grout,51,67,8,890,772,0,3,11,51,0,15.08,40.93,Australia,74
136,AU Rashid,279,122,47,1101,1159,0,1,11,105,14,12.445,92.35,England,69
137,AV Mankad,22,42,3,991,626,0,6,3,46,0,25.41,35.46,India,97
138,AW Greig,80,112,7,3868,7629,8,20,6,456,22,28.619999999999997,58.595,England,148
139,AW Nourse,45,83,8,2234,705,1,15,3,90,0,29.78,43.12,South,111
140,AW Roberts,5,10,1,248,0,0,3,0,0,0,27.55,0.0,New,66
141,AY Patel,7,2,0,7,14,0,0,0,0,0,3.5,50.0,New,4
142,Aamer Hanif,5,4,2,89,128,0,0,0,6,0,44.5,69.53,Pakistan,36
143,Aamer Jamal,14,20,3,440,663,0,2,2,45,13,24.535,118.455,Pakistan,82
144,Aamer Malik,38,42,4,1121,2626,2,8,4,106,2,30.29,45.36,Pakistan,117
145,Aamer Sohail,203,238,8,7603,12400,10,44,16,850,28,33.57,60.41,Pakistan,205
146,Aamer Yamin,6,4,3,110,102,0,1,0,9,6,47.5,174.475,Pakistan,62
147,Aaqib Javed,185,78,33,368,780,0,0,15,26,7,7.865,44.86,Pakistan,45
148,Abbas Afridi,24,15,4,135,119,0,0,1,10,10,12.27,113.44,Pakistan,22
149,Abdul Kadir,4,8,0,272,128,0,2,2,6,0,34.0,27.34,Pakistan,95
150,Abdul Malik,8,10,0,185,314,0,1,2,21,1,24.83,57.400000000000006,Afghanistan,84
151,Abdul Qadir,171,145,37,1670,3096,0,3,13,135,33,15.425,58.8,Pakistan,61
152,Abdul Rahman,3,3,1,10,37,0,0,0,0,0,5.0,27.02,Afghanistan,4
153,Abdul Razzaq,339,331,76,7370,11238,6,30,19,630,168,26.41,79.77333333333333,Pakistan,134
154,Abdul Samad,5,4,0,66,58,0,0,0,4,3,16.5,113.79,Pakistan,44
155,Abdul Wasi,1,2,0,12,70,0,0,0,1,0,6.0,17.14,Afghanistan,9
156,Abdullah Mazari,2,1,0,3,16,0,0,0,0,0,3.0,18.75,Afghanistan,3
157,Abdullah Shafique,52,72,6,2250,4321,6,11,14,212,41,27.453333333333333,81.31333333333333,Pakistan,201
158,Abdur Razzak,200,139,55,1068,1476,0,1,18,86,27,11.01,65.56333333333333,Bangladesh,53
159,Abdur Rehman,61,59,12,559,1223,0,2,8,58,10,11.15,57.42333333333334,Pakistan,60
160,Abhishek Sharma,17,16,0,535,276,2,2,1,46,41,33.43,193.84,India,135
161,Abid Ali,22,32,2,1414,2695,5,4,3,177,5,44.08,70.92999999999999,Pakistan,215
162,Abrar Ahmed,14,3,2,3,8,0,0,0,0,0,3.0,37.5,Pakistan,2
163,Abu Hider,15,6,4,59,54,0,0,0,5,4,29.5,71.985,Bangladesh,22
164,Abu Jayed,16,24,8,39,164,0,0,7,4,0,2.035,32.885000000000005,Bangladesh,8
165,Abul Hasan,15,10,3,190,305,1,0,0,20,5,31.05333333333333,85.12333333333333,Bangladesh,113
166,Adnan Akmal,26,33,6,653,1430,0,3,2,76,0,22.64,56.864999999999995,Pakistan,64
167,Afif Hossain,104,94,15,1784,1691,0,6,9,148,48,24.045,103.82499999999999,Bangladesh,93
168,Afsar Zazai,33,37,2,753,1332,1,2,4,55,8,21.406666666666666,62.61333333333334,Afghanistan,113
169,Aftab Ahmed,112,127,10,2764,3704,0,16,12,309,58,22.77,86.91000000000001,Bangladesh,92
170,Aftab Alam,39,22,13,82,116,0,0,4,9,3,6.21,48.49,Afghanistan,16
171,Aftab Gul,6,8,0,182,286,0,0,0,16,0,22.75,37.06,Pakistan,33
172,Agha Salman,79,89,16,2751,3502,4,18,3,280,43,36.01,92.50333333333333,Pakistan,134
173,Ahmed Daniyal,2,1,0,17,11,0,0,0,3,0,17.0,154.54,Pakistan,17
174,Ahmed Kamal,1,1,0,11,19,0,0,0,2,0,11.0,57.89,Bangladesh,11
175,Ahmed Shah,1,1,0,2,10,0,0,0,0,0,2.0,20.0,Afghanistan,2
176,Ahmed Shehzad,153,165,4,5058,6822,10,25,10,525,59,33.089999999999996,79.26666666666667,Pakistan,176
177,Ahsan Ali,2,2,0,36,39,0,0,1,4,0,18.0,92.3,Pakistan,36
178,Akhtar Sarfraz,4,4,0,66,99,0,0,0,4,1,16.5,66.66,Pakistan,25
179,Akram Khan,52,60,2,1235,2407,0,5,3,102,5,19.705,47.230000000000004,Bangladesh,65
180,Akram Raza,58,37,16,346,680,0,0,7,26,2,16.42,51.8,Pakistan,33
181,Al Sahariar,44,59,1,1057,2038,0,6,8,144,5,18.055,52.07,Bangladesh,71
182,Al-Amin Hossain,53,24,16,101,159,0,0,3,12,5,9.333333333333334,49.73,Bangladesh,32
183,Alamgir Kabir,3,5,1,8,86,0,0,2,1,0,2.0,9.3,Bangladesh,4
184,Ali Naqvi,5,9,1,242,677,1,0,0,31,0,30.25,35.74,Pakistan,115
185,Alimuddin,25,45,2,1091,0,2,7,6,37,0,25.37,0.0,Pakistan,109
186,Alok Kapali,93,107,6,1876,3103,1,7,13,184,14,16.23,61.21,Bangladesh,115
187,Aminul Islam,63,73,11,1360,2965,1,5,8,111,2,14.0525,69.2025,Bangladesh,145
188,Amir Hamza,68,31,16,146,346,0,0,2,14,3,11.343333333333334,56.166666666666664,Afghanistan,34
189,Anamul Haque,77,81,2,1959,2602,3,6,10,202,42,21.636666666666667,76.00666666666667,Bangladesh,120
190,Anil Dalpat,24,22,4,254,643,0,1,1,27,0,13.8,48.45,Pakistan,52
191,Anisur Rahman,2,2,0,2,11,0,0,1,0,0,1.0,18.18,Bangladesh,2
192,Anwar Ali,38,27,9,430,444,0,0,0,35,13,22.375,114.505,Pakistan,46
193,Anwar Hossain,2,3,0,56,151,0,0,0,8,0,24.5,35.53,Bangladesh,42
194,Anwar Hossain Monir,3,6,3,22,73,0,0,1,2,0,7.33,30.13,Bangladesh,13
195,Arafat Minhas,4,3,1,60,56,0,0,0,5,2,30.0,107.14,Pakistan,25
196,Arafat Sunny,26,17,10,82,122,0,0,1,8,1,11.665,82.75,Bangladesh,15
197,Ariful Haque,11,12,5,147,220,0,0,1,12,2,22.04,76.03,Bangladesh,41
198,Arshad Ayub,45,36,11,373,962,0,1,2,31,0,14.364999999999998,51.86,India,57
199,Arshad Khan,58,29,18,133,217,0,0,5,6,1,12.09,61.29,Pakistan,20
200,Arshdeep Singh,63,21,13,71,61,0,0,3,6,3,8.87,116.39,India,12
201,Asad Shafiq,147,196,10,6188,11752,12,36,18,639,36,27.376666666666665,73.29333333333334,Pakistan,137
202,Asghar Afghan,195,186,15,4246,5648,2,19,13,287,145,30.22,78.21666666666665,Afghanistan,164
203,Ashraf Ali,24,17,8,298,471,0,2,1,24,0,31.525,48.620000000000005,Pakistan,65
204,Asif Ali,79,67,14,959,745,0,3,4,49,58,20.32,127.76,Pakistan,52
205,Asif Iqbal,68,107,9,3905,3368,11,17,9,347,18,46.925,59.730000000000004,Pakistan,175
206,Asif Mujtaba,91,96,17,1996,4919,1,14,13,173,2,25.23,46.239999999999995,Pakistan,113
207,Asim Kamal,12,20,1,717,1518,0,8,2,104,6,37.73,47.23,Pakistan,99
208,Athar Ali Khan,19,19,1,532,945,0,3,3,46,3,29.55,56.29,Bangladesh,82
209,Avesh Khan,25,5,3,27,20,0,0,0,3,1,13.5,135.0,India,16
210,Awais Zia,5,5,0,70,80,0,0,0,4,3,14.0,87.5,Pakistan,23
211,Azam Khan,20,18,3,204,243,0,1,4,12,7,16.0,99.43,Pakistan,72
212,Azeem Hafeez,33,31,12,179,332,0,0,3,13,0,11.684999999999999,42.019999999999996,Pakistan,24
213,Azhar Ali,150,233,14,8987,19511,22,47,22,862,36,39.58,58.19,Pakistan,302
214,Azhar Hossain,7,7,0,96,266,0,1,0,5,0,13.71,36.09,Bangladesh,54
215,Azhar Mahmood,164,144,30,2421,3760,3,4,14,232,29,24.05,63.644999999999996,Pakistan,136
216,Azmat Rana,2,2,1,42,73,0,0,0,0,0,42.0,57.53,Pakistan,22
217,Azmatullah Omarzai,86,68,13,1507,1481,1,8,6,99,63,30.655,104.5,Afghanistan,149
218,B Fernando,23,7,3,43,48,0,0,1,3,1,10.75,89.58,Sri,20
219,B Kumar,229,105,33,1171,2066,0,4,14,123,9,14.866666666666665,63.406666666666666,India,63
220,B Lee,322,212,68,2728,4217,0,8,32,260,57,18.263333333333332,92.93333333333334,Australia,64
221,B Mitchell,42,80,9,3471,158,8,21,3,41,1,48.88,29.11,South,189
222,B Sai Sudharsan,3,3,1,127,142,0,2,0,17,1,63.5,89.43,India,62
223,B Stanlake,19,2,1,9,12,0,0,0,0,1,9.0,75.0,Australia,7
224,B Sutcliffe,42,76,8,2727,159,5,15,5,144,16,40.1,45.91,New,230
225,B Warnapura,16,20,0,276,728,0,1,2,32,0,13.5,35.42,Sri,77
226,B Wood,13,12,2,314,647,0,2,1,23,0,31.4,48.53,England,78
227,B Yardley,40,58,4,1036,1567,0,4,9,115,5,17.03,53.075,Australia,74
228,BA Carse,35,23,7,258,307,0,0,2,16,8,14.07,102.61,England,32
229,BA Davis,4,8,0,245,0,0,3,0,0,0,30.62,0.0,West,68
230,BA Edgar,103,132,9,3772,9326,4,22,10,289,3,30.665,40.64,New,161
231,BA King,120,118,7,3117,2965,3,21,10,357,102,28.175,109.735,West,112
232,BA Parchment,8,8,0,132,223,0,0,0,17,2,13.71,111.44,West,48
233,BA Pocock,15,29,0,665,2231,0,6,4,59,0,22.93,29.8,New,85
234,BA Richards,4,7,0,508,854,2,2,0,70,5,72.57,59.48,South,140
235,BA Stokes,272,341,33,11080,15921,19,60,24,1134,267,32.85666666666666,94.34666666666668,England,258
236,BA Young,109,141,9,3702,7955,2,21,10,396,3,28.15,49.99,New,267
237,BAG Murray,13,26,1,598,340,0,5,1,42,2,23.92,42.94,New,90
238,BAW Mendis,145,69,30,409,735,0,1,12,42,3,9.07,55.11333333333334,Sri,78
239,BB McCullum,432,474,47,14676,17872,19,76,37,1552,398,34.90333333333333,99.06,New,302
240,BC Booth,29,48,6,1773,2053,5,10,5,138,3,42.21,38.09,Australia,169
241,BC Broad,59,78,2,3022,6834,7,17,5,254,4,39.78,46.735,England,162
242,BC Fortuin,38,25,8,150,199,0,0,4,16,1,8.844999999999999,81.905,South,28
243,BC Hollioake,20,17,2,309,381,0,2,3,34,3,20.6,81.1,England,63
244,BC Lara,425,515,38,22260,32690,53,110,31,2590,221,47.035,70.05,West,400
245,BCJ Cutting,4,3,0,35,23,0,0,1,1,3,11.66,152.17,Australia,29
246,BD Julien,36,42,8,952,984,2,3,1,84,7,22.625,62.18000000000001,West,121
247,BE Congdon,72,123,10,3786,4752,8,21,9,250,14,44.275,52.415,New,176
248,BE Hendricks,29,9,3,42,68,0,0,1,2,1,7.0,65.795,South,18
249,BF Butcher,44,78,6,3104,1979,7,16,3,227,6,43.11,48.35,West,209
250,BF Hastings,42,65,7,1661,2230,4,7,7,130,3,24.535,44.85,New,117
