,Player,Matches,Innings,Not_Out,Runs,Ball_Faced,Hundreds,Fiftys,Zeros,Fours,Sixes,Average,Strike_Rate,Country,Highest_score
304,C Kelleway,26,42,4,1422,2669,3,6,1,88,0,37.42,35.1,Australia,147
305,C Kieswetter,71,65,6,1580,1642,1,8,6,153,55,26.009999999999998,100.92,England,107
306,C Munro,122,115,9,2995,2316,3,19,12,270,143,28.130000000000003,130.565,New,109
307,C Pringle,64,41,19,193,256,0,0,3,8,5,8.77,75.39,New,34
308,C Sakariya,2,1,1,5,9,0,0,0,0,0,0.0,55.55,India,5
309,C Sharma,88,62,25,852,1146,1,1,5,63,5,23.0,69.92,India,101
310,C Washbrook,37,66,6,2569,1146,6,12,2,100,8,42.81,37.52,England,195
311,C White,81,91,12,1620,3365,1,6,17,147,16,20.115000000000002,52.18,England,121
312,C Wickramasinghe,7,6,3,72,111,0,0,0,6,1,9.665,92.63499999999999,Sri,22
313,C de Grandhomme,115,118,21,2679,2844,2,15,14,226,100,26.993333333333336,108.31333333333333,New,120
314,CA Best,32,36,5,815,1425,2,3,3,78,6,26.695,57.54,West,164
315,CA Davis,15,29,5,1301,665,4,4,1,65,1,54.2,35.48,West,183
316,CA Ingram,40,38,4,1053,1186,3,4,6,105,17,29.335,105.97,South,124
317,CA Lynn,22,20,1,366,310,0,0,2,33,17,19.075,107.965,Australia,44
318,CA Pujara,108,181,11,7246,16347,19,35,14,867,16,26.9,41.795,India,206
319,CA Roach,16,32,1,952,108,2,6,6,19,5,30.7,34.25,West,209
320,CA Walsh,337,264,94,1257,2539,0,0,54,100,28,7.255,57.995000000000005,West,30
321,CAG Russell,10,18,2,910,492,5,2,2,39,1,56.87,52.43,England,140
322,CAK Rajitha,70,51,17,281,788,0,0,11,30,1,9.026666666666666,48.73333333333333,Sri,33
323,CAK Walton,19,17,0,225,203,0,0,5,23,11,13.23,110.83,West,40
324,CB Fry,26,41,3,1223,0,2,7,3,11,0,32.18,0.0,England,144
325,CB Lambert,16,20,0,652,1162,2,3,2,75,8,32.5,60.46,West,119
326,CB Llewellyn,15,28,1,544,423,0,4,6,11,0,20.14,46.8,South,90
327,CB van Ryneveld,19,33,6,724,0,0,3,2,18,0,26.81,0.0,South,83
328,CBRLS Kumara,92,75,32,207,609,0,0,18,31,1,4.536666666666666,54.88333333333333,Sri,13
329,CC Griffith,28,42,10,530,313,0,1,5,41,4,16.56,41.21,West,54
330,CC Hunte,44,78,6,3245,1750,8,13,5,190,3,45.06,38.74,West,260
331,CC Lewis,85,91,17,1479,2880,1,4,12,162,12,18.7,63.56,England,117
332,CC McDonald,47,83,4,3107,1844,5,17,2,158,3,39.32,44.41,Australia,170
333,CD Barnwell,6,6,2,78,62,0,0,1,4,4,19.5,125.8,West,34
334,CD Collymore,84,35,17,104,261,0,0,8,5,2,5.77,39.84,West,13
335,CD Cumming,24,32,3,602,1566,0,1,4,76,2,19.675,44.17,New,74
336,CD Gopinath,8,12,1,242,0,0,1,4,0,0,22.0,0.0,India,50
337,CD McMillan,260,281,27,8010,11985,9,48,16,748,152,32.6,96.90333333333332,New,142
338,CE Cuffy,41,22,8,62,125,0,0,5,3,1,4.42,49.6,West,17
339,CE Eksteen,6,2,2,6,25,0,0,0,0,0,0.0,24.0,South,6
340,CE McConchie,18,14,5,226,222,0,1,2,18,3,29.33,102.235,New,64
341,CEB Rice,3,2,0,26,37,0,0,0,1,1,13.0,70.27,South,14
342,CEL Ambrose,274,241,65,2078,4065,0,1,39,211,22,11.525,55.795,West,53
343,CFK van Wyk,9,17,1,341,694,0,1,3,41,0,21.31,49.13,New,71
344,CG Borde,55,97,11,3061,238,5,18,13,270,1,35.59,29.41,India,177
345,CG Greenidge,236,312,29,12692,19840,30,65,14,1342,148,44.875,57.205,West,226
346,CG Macartney,35,55,4,2131,753,7,9,1,187,3,41.78,69.18,Australia,170
347,CH Gayle,480,548,35,19538,25311,42,104,43,2324,552,36.04666666666667,94.97333333333331,West,333
348,CH Lloyd,197,244,33,9492,9376,20,50,5,872,100,43.105000000000004,68.95,West,242
349,CH Morris,69,47,8,773,929,0,3,3,73,20,19.926666666666666,92.87,South,69
350,CI Dunusinghe,5,10,0,160,452,0,1,3,15,1,16.0,35.39,Sri,91
351,CJ Anderson,93,91,10,2277,2572,2,10,10,210,95,28.163333333333338,101.25,New,131
352,CJ Barnett,20,35,4,1098,1405,2,5,1,74,5,35.41,44.41,England,129
353,CJ Bowes,17,17,0,286,275,0,2,1,42,2,16.75,101.53,New,54
354,CJ Boyce,7,2,1,4,7,0,0,0,0,0,4.0,57.14,Australia,3
355,CJ Dala,13,6,4,27,34,0,0,0,2,0,13.5,100.59,South,12
356,CJ Ferguson,33,28,9,679,796,0,5,1,65,0,23.38,84.76499999999999,Australia,71
357,CJ Green,1,1,1,2,3,0,0,0,0,0,0.0,66.66,Australia,2
358,CJ Jordan,130,81,34,623,551,0,0,6,43,26,12.985,108.155,England,38
359,CJ McDermott,209,168,30,1372,2208,0,0,28,126,14,9.64,71.285,Australia,42
360,CJ McKay,65,35,12,209,359,0,0,4,16,3,9.27,71.365,Australia,30
361,CJ Nevin,37,36,0,732,1000,0,4,4,82,3,20.33,73.2,New,74
362,CJ Richards,22,16,3,154,264,0,1,3,7,0,11.84,58.33,England,50
363,CJ Tavare,60,84,4,2475,7206,2,16,6,233,2,30.095,39.769999999999996,England,149
364,CJL Rogers,25,48,1,2015,3982,5,14,1,268,1,42.87,50.6,Australia,173
365,CJPG van Zyl,2,2,1,3,11,0,0,1,0,0,3.0,27.27,South,3
366,CK Kapugedera,153,137,17,2745,3631,0,13,8,223,60,26.19666666666667,81.39,Sri,96
367,CK Langeveldt,81,24,12,77,132,0,0,1,8,0,5.3149999999999995,54.435,South,12
368,CK Nayudu,7,14,0,350,0,0,2,0,0,1,25.0,0.0,India,81
369,CKB Kulasekara,5,5,0,60,122,0,0,1,2,0,11.83,48.385000000000005,Sri,19
370,CL Cairns,278,298,30,8204,11655,9,47,16,704,238,21.416666666666668,54.64000000000001,New,158
371,CL Hooper,329,379,58,11523,18979,20,56,20,1042,128,35.900000000000006,63.45,West,233
372,CL King,27,30,5,698,930,1,3,5,68,13,27.74,80.63499999999999,West,100
373,CL Smith,4,4,0,109,240,0,1,0,19,1,27.25,45.41,England,70
374,CL Vincent,25,38,12,526,2,0,2,4,20,8,20.23,0.0,South,60
375,CL Walcott,44,74,7,3798,0,15,14,1,107,11,56.68,0.0,West,220
376,CL White,138,121,30,3056,3326,2,16,7,216,89,33.379999999999995,106.545,Australia,105
377,CM Francois,5,9,1,252,0,0,1,0,0,0,31.5,0.0,South,72
378,CM Kuggeleijn,16,11,2,142,223,0,0,1,7,1,15.77,63.67,New,40
379,CM Old,78,91,16,1183,2566,0,3,14,132,14,16.795,61.260000000000005,England,65
380,CM Spearman,70,87,2,1858,3414,1,8,9,238,13,22.53,59.775000000000006,New,112
381,CMH Hathorn,12,20,1,325,36,1,0,1,22,0,17.1,30.55,South,102
382,CMW Read,37,25,7,313,421,0,0,4,23,6,15.32,95.67500000000001,England,30
383,CN Frank,3,6,0,236,0,1,0,0,20,0,39.33,0.0,South,152
384,CO Browne,66,62,14,802,1557,0,1,10,72,11,16.705,55.175,West,68
385,CP Carter,10,15,5,181,0,0,0,3,3,1,18.1,0.0,South,45
386,CP Mead,17,26,2,1185,619,4,3,3,38,0,49.37,30.04,England,182
387,CP Schofield,4,4,3,24,20,0,0,0,2,0,24.0,120.0,England,9
388,CP Senanayake,10,12,0,223,345,0,1,2,21,0,18.7,66.045,Sri,64
389,CPH Ramanayake,80,59,23,353,924,0,0,14,26,1,9.765,41.07,Sri,34
390,CPS Chauhan,47,75,2,2237,4160,0,16,6,211,1,26.71,43.94,India,97
391,CR Brathwaite,85,64,9,869,888,1,1,5,51,46,15.600000000000001,102.08500000000001,West,101
392,CR Matthews,74,47,15,489,978,0,1,7,52,4,14.575,57.32,South,62
393,CR Woakes,216,203,49,3705,5670,1,13,21,383,37,21.75,89.22666666666667,England,137
394,CRD Fernando,204,115,54,513,1128,0,0,19,53,3,7.496666666666667,62.88666666666666,Sri,39
395,CS Baugh,71,74,13,1102,1951,0,3,3,109,11,13.783333333333333,66.78666666666668,West,68
396,CS Dempster,10,15,4,723,0,2,5,0,0,1,65.72,0.0,New,136
397,CS Martin,6,1,1,5,6,0,0,0,0,0,0.0,83.33,New,5
398,CS Pandit,41,31,10,461,731,0,0,2,34,0,22.565,62.08,India,39
399,CS Serjeant,3,3,0,73,158,0,0,0,7,1,24.33,46.2,Australia,46
400,CT Radley,4,4,1,250,367,1,1,0,25,0,83.33,68.11,England,117
401,CT Sarwate,9,17,1,208,459,0,0,4,5,0,13.0,21.78,India,37
402,CU Jayasinghe,5,3,2,49,49,0,0,0,3,1,49.0,100.0,Sri,38
403,CV Varun,18,3,1,1,6,0,0,2,0,0,0.5,16.66,India,1
404,CWJ Athey,54,71,4,1767,3868,3,8,3,147,4,27.185,47.72,England,142
405,CZ Harris,273,255,66,5156,8888,1,21,21,362,45,24.72,50.105000000000004,New,130
406,D Bishoo,85,90,27,888,2195,0,0,19,89,5,11.596666666666666,52.70666666666667,West,45
407,D Brevis,8,8,1,140,84,0,0,1,6,12,20.0,166.66,South,41
408,D Cleaver,9,7,1,122,101,0,1,1,10,5,20.33,120.79,New,78
409,D Dasgupta,13,17,2,395,1208,1,2,3,46,1,22.83,46.37,India,100
410,D Elgar,94,159,12,5451,11367,14,23,13,690,26,27.625,53.265,South,199
411,D Ferreira,6,5,0,79,50,0,0,0,2,6,15.8,158.0,South,48
412,D Foxcroft,5,4,0,88,79,0,0,0,2,5,22.0,111.39,New,34
413,D Ganga,84,121,3,3029,7001,3,18,14,356,10,25.75,60.78333333333333,West,135
414,D Gough,216,173,56,1464,2914,0,2,24,145,14,12.495000000000001,53.879999999999995,England,65
415,D Lloyd,8,8,1,285,526,1,0,0,25,1,40.71,54.18,England,116
416,D Madushanka,41,16,9,38,86,0,0,4,5,0,6.25,37.065,Sri,19
417,D Mongia,58,52,7,1268,1766,1,4,4,126,9,32.975,77.955,India,159
418,D Padikkal,2,2,0,38,38,0,0,0,2,1,19.0,100.0,India,29
419,D Paterson,8,2,1,5,2,0,0,0,1,0,5.0,250.0,South,4
420,D Pretorius,57,30,6,453,383,0,2,3,36,20,18.875,124.93,South,77
421,D Ramdin,284,286,52,5734,9234,6,24,16,592,56,23.189999999999998,81.50333333333333,West,169
422,D Ranatunga,6,7,0,136,406,0,0,1,6,0,20.625,33.105,Sri,45
423,D Wiese,26,17,5,194,190,0,0,1,11,8,16.77,105.675,South,41
424,D Williams,47,42,8,389,996,0,1,11,33,0,11.309999999999999,46.415000000000006,West,65
425,DA Allen,39,51,15,918,405,0,5,4,66,0,25.5,33.82,England,88
426,DA Gunawardene,67,72,1,1889,2712,1,12,6,243,5,22.455,63.76,Sri,132
427,DA Miller,305,266,81,7161,6253,9,32,12,508,272,37.925,122.435,South,139
428,DA Murray,19,31,3,601,984,0,3,3,35,0,21.46,36.28,West,84
429,DA Reeve,29,21,9,291,389,0,0,0,19,0,24.25,74.8,England,35
430,DA Sharpe,3,6,0,134,0,0,1,0,0,0,22.33,0.0,Pakistan,56
431,DA Warner,383,474,26,18995,21944,49,98,23,2106,321,41.10666666666666,103.30666666666667,Australia,335
432,DAJ Bracewell,69,70,11,915,1589,0,1,14,90,24,17.753333333333334,89.00333333333333,New,57
433,DAJ Holford,24,39,5,768,737,1,3,3,52,1,22.58,31.34,West,105
434,DAS Gunaratne,49,47,9,1255,1763,2,6,3,119,13,36.416666666666664,86.21666666666665,Sri,116
435,DB Close,22,37,2,887,1504,0,4,3,80,4,25.34,33.04,England,70
436,DB Rundle,2,2,0,6,11,0,0,1,1,0,3.0,54.54,South,6
437,DB Vengsarkar,245,305,41,10376,15989,18,58,22,737,41,38.43,54.645,India,166
438,DBL Powell,97,83,9,526,1306,0,0,23,54,9,4.3933333333333335,69.20666666666666,West,48
439,DC Boon,288,367,36,13386,27273,26,69,22,1316,18,40.345,53.045,Australia,200
440,DC Drakes,10,5,0,15,19,0,0,1,3,0,3.0,78.94,West,5
441,DC Jurel,8,9,1,214,403,0,1,0,15,7,22.2,52.66,India,90
442,DC Thomas,33,27,4,289,418,0,0,3,23,4,11.25,79.91,West,37
443,DCS Compton,78,131,15,5807,2731,17,28,10,342,3,50.06,38.81,England,278
444,DE Bernard,21,13,3,142,220,0,0,1,10,0,7.05,82.19,West,38
445,DE Bollinger,9,2,2,1,1,0,0,0,0,0,0.0,100.0,Australia,1
446,DG Bedingham,15,26,3,828,1228,1,4,2,91,17,36.0,67.42,South,110
447,DG Bradman,52,80,10,6996,9800,29,13,7,626,6,99.94,58.6,Australia,334
448,DG Brownlie,35,45,2,1078,2091,1,5,6,143,4,18.866666666666667,50.79999999999999,New,109
449,DG Cork,69,77,11,1044,2363,0,3,9,124,5,14.0,53.86,England,59
450,DG Phadkar,31,45,7,1229,765,2,8,3,35,4,32.34,41.04,India,123
451,DI Gower,231,315,26,11401,20486,25,51,13,1269,32,37.51,62.870000000000005,England,215
452,DJ Bravo,295,286,42,6423,9224,5,27,22,582,134,26.263333333333335,81.97333333333334,West,113
453,DJ Callaghan,29,25,6,493,726,1,0,2,43,5,25.94,67.9,South,169
454,DJ Capel,23,19,2,327,479,0,1,0,23,4,19.23,68.26,England,50
455,DJ Cullinan,208,248,28,8414,14792,17,43,20,846,58,38.6,59.620000000000005,South,275
456,DJ Gandhi,7,10,1,253,642,0,2,2,35,1,25.165,43.97,India,88
457,DJ Hooda,31,24,6,521,439,1,0,2,39,19,28.08,114.07499999999999,India,104
458,DJ Hussey,108,97,9,2552,2603,1,17,8,171,64,27.775,106.02000000000001,Australia,111
459,DJ Malan,114,129,12,4416,5538,8,32,9,490,95,39.89,90.29666666666667,England,140
460,DJ McGlew,34,64,6,2440,3,7,10,4,92,2,42.06,0.0,South,255
461,DJ Mitchell,162,173,27,5640,7130,11,31,3,463,151,39.800000000000004,95.27333333333335,New,190
462,DJ Murray,8,16,1,303,1027,0,1,3,34,0,20.2,29.5,New,52
463,DJ Nash,113,98,27,1353,3042,0,4,8,93,9,19.555,50.53,New,89
464,DJ Richardson,164,141,41,2227,4539,1,9,13,177,3,21.990000000000002,54.400000000000006,South,109
465,DJ Terbrugge,4,2,1,5,14,0,0,0,0,0,5.0,35.71,South,5
466,DJ Willey,116,72,30,889,866,0,2,3,72,37,19.805,113.15,England,51
467,DJG Sammy,230,218,48,3728,4178,1,14,15,344,145,20.773333333333333,105.55666666666667,West,106
468,DJM Short,31,31,3,853,809,0,5,2,87,16,30.355,98.655,Australia,76
469,DK Gaekwad,11,20,1,350,0,0,1,3,9,0,18.42,0.0,India,52
470,DK Lillee,133,124,32,1145,2594,0,1,16,113,9,11.47,56.185,Australia,73
471,DK Liyanage,25,20,2,213,547,0,0,1,11,1,11.83,44.925,Sri,43
472,DK Morrison,144,114,50,550,2096,0,0,31,43,3,8.71,32.545,New,42
473,DL Amiss,68,106,10,4471,8930,15,12,10,521,4,47.01,56.935,England,262
474,DL Bairstow,21,20,6,206,390,0,0,1,12,1,14.71,52.82,England,23
475,DL Chahar,38,16,8,256,235,0,2,2,21,12,30.165,143.67000000000002,India,69
476,DL Haynes,354,439,53,16135,28759,35,96,23,1586,77,41.83,53.75,West,184
477,DL Maddy,12,10,0,226,286,0,2,1,22,3,23.54,98.05,England,53
478,DL Murray,88,113,14,2287,2768,0,13,7,178,9,23.7,53.06,West,91
479,DL Piedt,12,17,3,214,619,0,1,2,20,3,15.28,34.57,South,56
480,DL Underwood,86,116,35,937,2456,0,0,19,91,0,11.56,35.99,England,45
481,DL Vettori,437,377,83,6929,10613,6,27,44,743,34,20.05,82.98666666666666,New,140
482,DM Benkenstein,23,20,3,305,463,0,1,3,20,0,17.94,65.87,South,69
483,DM Bravo,204,241,22,7052,12699,12,35,17,688,130,29.319999999999997,73.94333333333333,West,218
484,DM Dupavillon,2,1,0,17,10,0,0,0,2,1,17.0,170.0,South,17
485,DM Jones,216,250,36,9699,15789,18,60,17,741,74,45.58,60.72,Australia,216
486,DM Lewis,3,5,2,259,0,0,3,0,10,0,86.33,0.0,West,88
487,DM Richards,8,7,0,179,251,0,2,0,21,3,25.57,71.31,West,59
488,DM Wellham,17,17,2,379,699,0,1,0,16,0,25.26,54.22,Australia,97
489,DM de Silva,200,241,23,6845,10193,12,32,16,756,71,28.686666666666667,84.25,Sri,173
490,DN Crookes,32,23,3,296,412,0,1,3,20,5,14.8,71.84,South,54
491,DN Patel,112,129,18,1823,3696,0,6,16,156,15,16.215,57.099999999999994,New,99
492,DN Sardesai,30,55,4,2001,745,5,9,4,177,2,39.23,27.24,India,212
493,DN Wellalage,36,28,6,427,546,0,1,3,34,11,15.603333333333333,72.20333333333333,Sri,67
494,DNT Zoysa,125,87,27,631,1053,0,0,14,60,12,10.83,68.62,Sri,47
495,DP Conway,117,136,14,4809,6393,9,26,7,555,69,39.99333333333333,89.31666666666668,New,200
496,DP Hyatt,14,14,2,176,242,0,0,1,12,10,15.0,89.04,West,39
497,DP Nannes,15,4,3,16,11,0,0,0,1,1,16.0,145.45,Australia,12
498,DP Samaraweera,12,18,0,302,974,0,0,1,26,0,18.91,40.025000000000006,Sri,49
499,DP Sibley,22,39,3,1042,3045,2,5,6,114,1,28.94,34.22,England,133
500,DPB Morkel,16,28,1,663,0,0,4,3,8,3,24.55,0.0,South,88
501,DPMD Jayawardene,647,720,61,25688,39816,53,134,47,2658,165,38.20333333333333,87.76666666666667,Sri,374
502,DR Flynn,49,67,7,1325,2991,0,6,11,159,10,17.650000000000002,73.08,New,95
503,DR Hadlee,26,42,5,530,1150,0,1,9,45,6,14.32,28.69,New,56
504,DR Jardine,22,33,6,1296,2110,1,10,2,53,0,48.0,25.59,England,127
505,DR Martyn,279,295,65,9872,15520,18,61,17,965,37,39.056666666666665,97.10000000000001,Australia,165
506,DR Mousley,4,1,0,8,6,0,0,0,0,1,8.0,133.33,England,8
507,DR Parry,18,25,4,442,240,0,3,3,35,1,18.83,62.0,West,65
508,DR Pringle,44,30,12,425,616,0,0,1,26,3,23.61,68.99,England,49
509,DR Sams,10,7,3,106,62,0,0,0,8,6,26.5,170.96,Australia,41
510,DR Smith,148,135,6,2462,2614,1,11,19,251,101,20.453333333333333,95.16333333333334,West,105
511,DR Tuffey,123,90,32,727,1381,0,1,14,70,11,10.31,73.94,New,80
512,DS Atkinson,22,35,6,922,0,1,5,4,17,6,31.79,0.0,West,219
513,DS Kulkarni,2,1,1,1,1,0,0,0,0,0,0.0,100.0,India,1
514,DS Lehmann,144,143,24,4876,6693,9,27,6,441,24,41.955,71.57,Australia,177
515,DS Smith,96,127,4,3022,5501,2,15,11,378,15,27.41,80.76333333333334,West,108
516,DS Weerakkody,3,3,0,73,66,0,1,0,9,1,24.33,110.6,Sri,58
517,DS de Silva,53,51,13,777,1603,0,2,3,48,0,20.439999999999998,43.894999999999996,Sri,61
518,DSBP Kuruppu,58,59,2,1342,2807,1,4,3,120,4,36.68,45.129999999999995,Sri,201
519,DT Christian,43,32,11,391,400,0,0,1,30,9,17.875,107.9,Australia,39
520,DT Lindsay,19,31,1,1130,661,3,5,2,113,13,37.66,64.29,South,182
521,DW Fleming,88,31,18,152,221,0,0,5,9,1,11.69,68.77,Australia,29
522,DW Hookes,62,77,5,2132,3348,1,13,7,220,18,29.325,64.8,Australia,143
523,DW Randall,96,124,10,3537,7327,7,17,18,336,12,30.02,53.3,England,174
524,DW Steyn,263,180,45,1633,3398,0,3,24,161,45,8.946666666666667,63.67666666666667,South,76
525,Danish Aziz,2,2,0,37,35,0,0,0,1,1,18.5,105.71,Pakistan,22
526,Danish Kaneria,61,84,33,360,743,0,0,25,46,3,7.05,48.45,Pakistan,29
527,Darwish Rasooli,9,9,2,118,113,0,1,1,10,2,16.85,104.42,Afghanistan,58
528,Dawlat Ahmadzai,2,1,1,2,3,0,0,0,0,0,0.0,66.66,Afghanistan,2
529,Dawlat Zadran,116,73,35,581,706,0,0,10,44,27,12.615,119.575,Afghanistan,47
530,Dhiman Ghosh,15,13,3,127,203,0,0,3,9,1,7.5,56.34,Bangladesh,30
531,Dilawar Hussain,3,6,0,254,0,0,3,0,0,2,42.33,0.0,India,59
532,Dolar Mahmud,7,4,0,61,44,0,0,2,5,4,15.25,138.63,Bangladesh,41
533,E Bosch,1,1,1,7,9,0,0,0,0,0,0.0,77.77,South,7
534,E Lewis,132,128,9,3957,3678,7,24,9,348,206,33.28,120.24000000000001,West,176
535,E Paynter,20,31,5,1540,1288,4,7,3,125,4,59.23,45.88,England,243
536,EA Halliwell,8,15,0,188,0,0,1,3,0,0,12.53,0.0,South,57
537,EAB Rowan,26,50,5,1965,77,3,12,4,14,0,43.66,29.87,South,236
538,EAE Baptiste,43,16,4,184,241,0,0,0,9,0,15.33,76.34,West,31
539,EAR de Silva,38,36,10,323,749,0,1,5,12,1,12.629999999999999,39.75,Sri,50
540,EAS Prasanna,49,84,20,735,810,0,0,15,65,0,11.48,38.76,India,37
541,EB McSweeney,16,14,5,73,119,0,0,2,3,2,8.11,61.34,New,18
542,EC Joyce,19,18,0,472,712,1,3,1,53,2,14.35,49.88,England,107
543,EC Petrie,14,25,5,258,299,0,1,2,10,0,12.9,13.71,New,55
544,ED Solkar,27,48,6,1068,1467,1,6,1,74,3,25.42,31.08,India,102
545,ED Weekes,48,81,5,4455,0,15,19,6,258,2,58.61,0.0,West,207
546,EDAS McMorris,13,21,0,564,113,1,3,1,1,0,26.85,23.0,West,125
547,EH Hendren,51,83,9,3525,3468,7,21,4,209,9,47.63,47.08,England,205
548,EH Mattis,2,2,0,86,190,0,1,0,6,0,43.0,45.26,West,62
549,EJ Barlow,30,57,2,2516,1684,6,15,3,251,5,45.74,43.88,South,201
550,EJ Chatfield,114,48,37,118,346,0,0,6,6,0,10.72,34.1,New,19
551,EJ Gray,20,23,1,346,1177,0,1,0,26,0,15.915,34.39,New,50
552,EJG Morgan,340,314,53,9415,9214,13,56,18,774,322,34.165,115.03,England,148
553,EJM Cowan,18,32,0,1001,2425,1,6,2,123,2,31.28,41.27,Australia,136
554,EL Dalton,15,24,2,698,0,2,3,1,16,2,31.72,0.0,South,117
555,ELR Stewart,6,6,2,61,116,0,0,0,5,0,15.25,52.58,South,23
556,EMDY Munaweera,13,13,1,215,164,0,1,1,25,7,17.91,131.09,Sri,53
557,EO Simons,23,18,4,217,295,0,0,1,10,3,15.5,73.55,South,24
558,EP Nupen,17,31,7,348,0,0,2,5,5,3,14.5,0.0,South,69
559,EP Thompson,1,1,1,1,1,0,0,0,0,0,0.0,100.0,New,1
560,ER Dexter,62,102,8,4502,2476,9,27,6,455,16,47.89,44.18,England,205
561,ER Fernando,3,3,0,47,66,0,0,0,7,0,15.66,71.21,Sri,22
562,ERNS Fernando,12,15,0,213,705,0,0,5,17,0,15.7,34.825,Sri,46
563,Ebadot Hossain,33,40,20,67,263,0,0,12,8,1,2.525,23.560000000000002,Bangladesh,21
564,Ehsanul Haque,7,8,0,64,160,0,0,1,6,0,6.5,33.379999999999995,Bangladesh,20
565,Elias Sunny,15,14,5,49,163,0,0,3,5,1,4.366666666666666,48.25,Bangladesh,20
566,Enamul Haque,39,45,9,416,999,0,0,4,43,1,11.615,41.935,Bangladesh,32
567,Enamul Haque jnr,25,31,17,71,290,0,0,6,7,0,4.45,42.46,Bangladesh,13
568,F Behardien,97,79,28,1592,1501,0,7,5,116,41,31.525,113.055,South,70
569,F du Plessis,259,301,41,11136,16293,23,66,12,1146,134,41.38,89.71999999999998,South,199
570,FA Allen,59,43,12,472,402,0,1,7,34,29,15.245000000000001,117.6,West,51
571,FA Iredale,14,23,1,807,1,2,4,2,43,0,36.68,0.0,Australia,140
572,FA Rose,46,51,7,561,931,0,1,4,59,12,12.64,66.765,West,69
573,FB Smith,4,6,1,237,0,0,2,0,1,3,47.4,0.0,New,96
574,FC Hayes,6,6,1,128,235,0,1,0,18,2,25.6,54.46,England,52
575,FCM Alexander,25,38,6,961,602,1,7,5,43,2,30.03,44.68,West,108
576,FDM Karunaratne,150,237,11,8538,15678,17,50,17,895,13,35.29,65.525,Sri,244
577,FE Woolley,64,98,7,3283,1488,5,23,13,179,15,36.07,60.61,England,154
578,FH Allen,74,73,1,1867,1411,2,10,8,191,103,26.450000000000003,128.26500000000001,New,137
579,FH Edwards,131,116,46,478,1571,0,0,22,54,2,7.06,50.79666666666666,West,30
580,FJ Titmus,53,76,11,1449,2370,0,10,4,133,3,22.29,32.48,England,84
581,FL Reifer,9,9,0,139,249,0,0,0,12,3,18.31,80.545,West,40
582,FLH Mooney,14,22,2,343,0,0,0,1,1,0,17.15,0.0,New,46
583,FM Engineer,51,91,4,2725,2096,2,17,7,267,2,34.54,57.715,India,121
584,FMM Worrell,51,87,9,3860,488,9,22,11,240,11,49.48,40.16,West,261
585,FR Martin,9,18,1,486,196,1,0,1,27,0,28.58,29.08,West,123
586,FS Ahangama,3,3,1,11,0,0,0,1,0,0,5.5,0.0,Sri,11
587,FS Trueman,67,85,14,981,523,0,0,11,58,25,13.81,42.82,England,39
588,FY Fazal,1,1,1,55,61,0,1,0,7,1,0.0,90.16,India,55
589,Faheem Ashraf,111,95,14,1417,1953,0,6,11,150,38,17.663333333333334,90.82000000000001,Pakistan,91
590,Fahim Muntasir,6,9,1,58,103,0,0,2,7,1,5.83,47.875,Bangladesh,33
591,Faisal Hossain,7,7,1,50,118,0,0,1,4,1,7.125,36.585,Bangladesh,17
592,Faisal Iqbal,44,60,4,1438,3064,2,8,7,160,9,24.590000000000003,52.33,Pakistan,139
593,Fakhar Zaman,186,180,9,5792,5728,11,30,12,613,158,33.623333333333335,93.03333333333335,Pakistan,210
594,Fareed Ahmad,52,15,9,97,145,0,0,1,8,2,20.833333333333332,75.27666666666666,Afghanistan,24
595,Farhad Reza,47,40,6,484,724,0,1,3,43,10,12.24,73.28999999999999,Bangladesh,50
596,Faruk Ahmed,7,7,0,105,273,0,1,1,6,0,15.0,38.46,Bangladesh,57
597,Fawad Ahmed,2,1,1,3,5,0,0,0,0,0,0.0,60.0,Australia,3
598,Fawad Alam,81,83,22,2171,3636,6,8,7,178,16,32.25333333333334,78.61333333333333,Pakistan,168
599,Fazal Mahmood,34,50,6,620,0,0,1,10,8,2,14.09,0.0,Pakistan,60
600,Fazal Niazai,1,1,0,12,15,0,0,0,1,0,12.0,80.0,Afghanistan,12
601,Fazalhaq Farooqi,85,33,24,33,86,0,0,6,3,0,3.75,47.245,Afghanistan,6
602,G Boycott,144,227,27,9196,22548,23,51,11,849,8,41.89,44.625,England,246
603,G Coetzee,26,18,2,155,167,0,0,4,10,7,9.510000000000002,95.3,South,23
604,G Fowler,47,63,2,2051,4683,3,12,5,212,4,33.16,47.595,England,201
605,G Gambhir,242,283,18,10324,14994,20,63,20,1188,37,36.34666666666667,85.25333333333333,India,206
606,G Giffen,31,53,0,1238,115,1,6,5,63,1,23.35,29.56,Australia,161
607,G Gunn,15,29,1,1120,1330,2,7,3,85,2,40.0,38.57,England,122
608,G Kirsten,286,361,34,14087,26219,34,79,24,1581,32,43.11,57.735,South,275
609,G Miller,59,69,6,1349,3681,0,7,8,131,0,17.15,43.41,England,98
610,G Motie,78,54,18,724,824,0,3,6,75,25,20.503333333333334,99.48666666666668,West,63
611,G Pullar,28,49,4,1974,221,4,12,3,117,2,43.86,31.22,England,175
612,G Ulyett,25,39,0,949,258,1,7,6,63,5,24.33,43.79,England,149
613,G Wijekoon,5,5,1,39,98,0,0,1,4,0,6.83,30.43,Sri,14
614,GA Bartlett,10,18,1,263,34,0,0,4,17,1,15.47,64.7,New,40
