,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
63,India,PK Amre,1991-1994,37,30,5,513,84*,20.52,799,64.20,-,2,1,28,2
64,India,SV Samson,2021-2023,16,14,5,510,108,56.66,512,99.60,1,3,-,34,22
65,India,AO Malhotra,1982-1986,20,19,4,457,65,30.46,645,70.85,-,1,-,29+,1+
66,India,C Sharma,1983-1994,65,35,16,456,101*,24.00,504,90.47,1,-,3,31,4
67,India,GR Viswanath,1974-1982,25,23,1,439,75,19.95,830,52.89,-,2,1,33+,0+
68,India,AK Sharma,1988-1993,31,27,6,424,59*,20.19,469,90.40,-,3,2,26+,9+
69,India,S Madan Lal,1974-1987,67,35,14,401,53*,19.09,645,62.17,-,1,1,25+,3+
70,India,SMH Kirmani,1976-1986,49,31,13,373,48*,20.72,616,60.55,-,-,2,24+,0+
71,India,SS Karim,1997-2000,34,27,4,362,55,15.73,560,64.64,-,1,2,27,2
72,India,M Vijay,2010-2015,17,16,-,339,72,21.18,506,66.99,-,1,-,33,3
73,India,HH Kanitkar,1997-2000,34,27,8,339,57,17.84,512,66.21,-,1,2,25,1
74,India,Washington Sundar,2017-2025,23,15,1,329,51,23.50,394,83.50,-,1,-,24,10
75,India,SN Thakur,2017-2023,47,25,6,329,50*,17.31,313,105.11,-,1,1,31,9
76,India,N Chopra,1998-2000,39,26,6,310,61,15.50,498,62.24,-,1,1,15,5
77,India,P Kumar,2007-2012,68,33,12,292,54*,13.90,331,88.21,-,1,2,25,7
78,India,CS Pandit,1986-1992,36,23,9,290,33*,20.71,400,72.50,-,-,2,16+,0+
79,India,MK Tiwary,2008-2015,12,12,1,287,104*,26.09,403,71.21,1,1,-,24,3
80,India,RS Sodhi,2000-2002,18,14,3,280,67,25.45,381,73.49,-,2,-,16,6
81,India,AD Gaekwad,1975-1987,15,14,1,269,78*,20.69,509,52.84,-,1,2,15+,0+
82,India,KBJ Azad,1980-1986,25,21,2,269,39*,14.15,400,67.25,-,-,3,19+,9+
83,India,SS Dighe,2000-2001,23,17,6,256,94*,23.27,421,60.80,-,1,1,11,2
84,India,BP Patel,1974-1979,10,9,1,243,82,30.37,399,60.90,-,1,-,22+,3+
85,India,STR Binny,2014-2015,14,11,3,230,77,28.75,246,93.49,-,1,1,23,5
