,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,To,From
62,India,PK Amre,37,30,5,513,84,799.0,799,799.0,0,2,1,28,2,799,799
63,India,SV Samson,16,14,5,510,108,512.0,512,512.0,1,3,0,34,22,512,512
64,India,AO Malhotra,20,19,4,457,65,645.0,645,645.0,0,1,0,29,1,645,645
65,India,C Sharma,65,35,16,456,101,504.0,504,504.0,1,0,3,31,4,504,504
66,India,GR Viswanath,25,23,1,439,75,830.0,830,830.0,0,2,1,33,0,830,830
67,India,AK Sharma,31,27,6,424,59,469.0,469,469.0,0,3,2,26,9,469,469
68,India,S Madan Lal,67,35,14,401,53,645.0,645,645.0,0,1,1,25,3,645,645
69,India,SMH Kirmani,49,31,13,373,48,616.0,616,616.0,0,0,2,24,0,616,616
70,India,SS Karim,34,27,4,362,55,560.0,560,560.0,0,1,2,27,2,560,560
71,India,M Vijay,17,16,0,339,72,506.0,506,506.0,0,1,0,33,3,506,506
72,India,HH Kanitkar,34,27,8,339,57,512.0,512,512.0,0,1,2,25,1,512,512
73,India,Washington Sundar,23,15,1,329,51,394.0,394,394.0,0,1,0,24,10,394,394
74,India,SN Thakur,47,25,6,329,50,313.0,313,313.0,0,1,1,31,9,313,313
75,India,N Chopra,39,26,6,310,61,498.0,498,498.0,0,1,1,15,5,498,498
76,India,P Kumar,68,33,12,292,54,331.0,331,331.0,0,1,2,25,7,331,331
77,India,CS Pandit,36,23,9,290,33,400.0,400,400.0,0,0,2,16,0,400,400
78,India,MK Tiwary,12,12,1,287,104,403.0,403,403.0,1,1,0,24,3,403,403
79,India,RS Sodhi,18,14,3,280,67,381.0,381,381.0,0,2,0,16,6,381,381
80,India,AD Gaekwad,15,14,1,269,78,509.0,509,509.0,0,1,2,15,0,509,509
81,India,KBJ Azad,25,21,2,269,39,400.0,400,400.0,0,0,3,19,9,400,400
82,India,SS Dighe,23,17,6,256,94,421.0,421,421.0,0,1,1,11,2,421,421
83,India,BP Patel,10,9,1,243,82,399.0,399,399.0,0,1,0,22,3,399,399
84,India,STR Binny,14,11,3,230,77,246.0,246,246.0,0,1,1,23,5,246,246
85,India,Mohammed Shami,108,49,20,225,25,273.0,273,273.0,0,0,6,17,9,273,273
86,India,V Shankar,12,8,1,223,46,246.0,246,246.0,0,0,0,20,4,246,246
87,India,BKV Prasad,161,63,31,221,19,367.0,367,367.0,0,0,8,7,5,367,367
