,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format,Careerspan
1893,England,G Fowler,21,37,0,1307,201,35.32,3362,38.87,3,8,3,145,3,1982,1985,Test,3
1639,Australia,DW Hookes,23,41,3,1306,143,34.36,2202,57.53,1,8,4,147,5,1977,1985,Test,8
2431,Sri_Lanka_Lanka,P Nissanka,18,31,2,1305,187,45.0,2299,56.76,4,7,0,150,5,2021,2025,Test,4
631,New_Zealand_Zealand,MS Sinclair,54,50,4,1304,118,28.34,2086,62.51,2,8,8,112,5,2000,2009,ODI,9
2432,Sri_Lanka_Lanka,MDK Perera,43,77,8,1303,95,18.88,2779,46.88,0,7,14,158,23,2014,2021,Test,7
2603,West_Indies_Indies,CA Davis,15,29,5,1301,183,54.2,665,35.48,4,4,1,65,1,1968,1973,Test,5
1072,Sri_Lanka_Lanka,MD Shanaka,71,63,5,1299,108,22.39,1420,91.47,2,4,6,103,42,2016,2024,ODI,8
1894,England,BW Luckhurst,21,41,5,1298,131,36.05,3633,35.72,4,5,4,136,1,1970,1974,Test,4
1895,England,DR Jardine,22,33,6,1296,127,48.0,2110,25.59,1,10,2,53,0,1928,1934,Test,6
1997,New_Zealand_Zealand,JF Reid,19,31,3,1296,180,46.28,3616,35.31,6,2,4,133,1,1979,1986,Test,7
918,South_Africa_Africa,PN Kirsten,40,40,6,1293,97,38.02,2308,56.02,0,9,0,90,8,1991,1994,ODI,3
2297,South_Africa_Africa,KA Maharaj,59,91,7,1292,84,15.38,2107,61.31,0,6,17,149,29,2016,2025,Test,9
2604,West_Indies_Indies,KAJ Roach,85,136,28,1286,47,11.9,3426,37.53,0,0,20,150,16,2009,2025,Test,16
3117,New_Zealand_Zealand,FH Allen,52,52,1,1285,137,25.19,787,163.27,2,5,5,113,89,2021,2025,T20,4
2433,Sri_Lanka_Lanka,RL Dias,20,36,1,1285,109,36.71,1256,52.94,3,8,2,95,1,1982,1987,Test,5
1453,India,KS More,49,64,14,1285,73,25.7,3181,37.47,0,7,7,132,2,1986,1993,Test,7
477,England,MJ Prior,68,62,9,1282,87,24.18,1670,76.76,0,3,5,141,6,2004,2011,ODI,7
319,Bangladesh,Nasir Hossain,65,52,8,1281,100,29.11,1605,79.81,1,6,4,112,15,2011,2018,ODI,7
1640,Australia,JW Burke,24,44,7,1280,189,34.59,942,27.28,3,5,0,67,0,1951,1959,Test,8
1896,England,A Shrewsbury,23,40,4,1277,164,35.47,227,40.52,3,4,1,81,0,1881,1893,Test,12
2434,Sri_Lanka_Lanka,UC Hathurusingha,26,44,1,1274,83,29.62,3573,35.65,0,8,2,154,0,1991,1999,Test,8
36,India,NR Mongia,140,96,33,1272,69,20.19,1845,68.94,0,2,4,95,8,1994,2000,ODI,6
632,New_Zealand_Zealand,C Munro,57,53,2,1271,87,24.92,1214,104.69,0,8,7,138,36,2013,2019,ODI,6
633,New_Zealand_Zealand,JEC Franklin,110,80,27,1270,98,23.96,1651,76.92,0,4,5,97,17,2001,2013,ODI,12
37,India,AB Agarkar,191,113,26,1269,95,14.58,1574,80.62,0,3,10,103,22,1998,2007,ODI,9
781,Pakistan,Shoaib Mohammad,63,58,6,1269,126,24.4,2492,50.92,1,8,8,97,2,1984,1993,ODI,9
1998,New_Zealand_Zealand,JD Ryder,18,33,2,1269,201,40.93,2299,55.19,3,6,4,146,6,2008,2011,Test,3
1709,Bangladesh,Shahriar Nafees,24,48,0,1267,138,26.39,2268,55.86,1,7,4,189,1,2005,2013,Test,8
1999,New_Zealand_Zealand,V Pollard,32,59,7,1266,116,24.34,1108,37.81,2,7,4,104,4,1965,1973,Test,8
782,Pakistan,Basit Ali,50,43,6,1265,127,34.18,1669,75.79,1,9,3,81,18,1993,1996,ODI,3
3417,Sri_Lanka_Lanka,KIC Asalanka,61,60,7,1263,80,23.83,988,127.83,0,6,7,86,61,2021,2025,T20,4
1454,India,RF Surti,26,48,4,1263,99,28.7,562,28.64,0,9,5,84,2,1960,1969,Test,9
1073,Sri_Lanka_Lanka,S Samarawickrama,50,45,5,1261,108,31.52,1356,92.99,1,8,5,130,7,2017,2024,ODI,7
2435,Sri_Lanka_Lanka,M Muralidaran,132,162,56,1259,67,11.87,1787,70.45,0,1,32,146,29,1992,2010,Test,18
3519,West_Indies_Indies,DJ Bravo,91,74,17,1255,66,22.01,1091,115.03,0,4,5,73,55,2006,2021,T20,15
2298,South_Africa_Africa,DW Steyn,93,119,27,1251,76,13.59,2825,44.28,0,2,14,124,36,2004,2019,Test,15
2838,Australia,MP Stoinis,74,61,22,1245,78,31.92,838,148.56,0,5,2,99,63,2015,2024,T20,9
2605,West_Indies_Indies,GE Gomez,29,46,5,1243,101,30.31,0,0.0,1,8,5,37,0,1939,1954,Test,15
190,Australia,SP O'Donnell,87,64,15,1242,74,25.34,1534,80.96,0,9,5,72,28,1985,1991,ODI,6
919,South_Africa_Africa,RR Rossouw,36,35,3,1239,132,38.71,1313,94.36,3,7,5,131,22,2014,2016,ODI,2
2299,South_Africa_Africa,HB Cameron,26,45,4,1239,90,30.21,0,0.0,0,10,3,43,11,1927,1935,Test,8
2606,West_Indies_Indies,J Da Silva,33,59,9,1238,100,24.76,3017,41.03,1,5,5,127,7,2020,2024,Test,4
1641,Australia,G Giffen,31,53,0,1238,161,23.35,115,29.56,1,6,5,63,1,1881,1896,Test,15
191,Australia,SG Law,54,51,5,1237,110,26.89,1643,75.28,1,7,3,72,8,1994,1999,ODI,5
320,Bangladesh,Alok Kapali,69,66,3,1235,115,19.6,1817,67.96,1,5,5,101,10,2002,2011,ODI,9
634,New_Zealand_Zealand,R Ravindra,33,29,1,1233,123,44.03,1129,109.21,5,4,2,132,28,2023,2025,ODI,2
1455,India,Z Khan,92,127,24,1231,75,11.95,2381,51.7,0,3,29,141,28,2000,2014,Test,14
38,India,D Mongia,57,51,7,1230,159,27.95,1721,71.47,1,4,4,122,8,2001,2007,ODI,6
3020,England,MM Ali,92,75,17,1229,72,21.18,863,142.41,0,7,9,88,68,2014,2024,T20,10
1456,India,DG Phadkar,31,45,7,1229,123,32.34,765,41.04,2,8,3,35,4,1947,1959,Test,12
192,Australia,RW Marsh,92,76,15,1225,66,20.08,1489,82.26,0,4,7,86,17,1971,1984,ODI,13
1897,England,CB Fry,26,41,3,1223,144,32.18,0,0.0,2,7,3,11,0,1896,1912,Test,16
1074,Sri_Lanka_Lanka,HDPK Dharmasena,141,87,33,1222,69,22.62,1879,65.03,0,4,2,63,2,1994,2004,ODI,10
2436,Sri_Lanka_Lanka,S Wettimuny,23,43,1,1221,190,29.07,2010,40.74,2,6,5,114,0,1982,1987,Test,5
1642,Australia,JN Gillespie,71,93,28,1218,201,18.73,3810,31.96,1,2,13,146,8,1996,2006,Test,10
2152,Pakistan,Haroon Rasheed,23,36,1,1217,153,34.77,1690,49.82,3,5,2,106,19,1977,1983,Test,6
1349,Afghanistan,Noor Ali Zadran,51,50,1,1216,114,24.81,1923,63.23,1,7,4,132,4,2009,2019,ODI,10
39,India,Harbhajan Singh,234,126,35,1213,49,13.32,1502,80.75,0,0,17,90,34,1998,2015,ODI,17
1898,England,G Miller,34,51,4,1213,98,25.8,3416,35.5,0,7,5,119,0,1976,1984,Test,8
193,Australia,TM Moody,76,64,12,1211,89,23.28,1747,69.31,0,10,6,74,18,1987,1999,ODI,12
1643,Australia,VS Ransford,20,38,6,1211,143,37.84,1108,51.44,1,7,2,92,1,1907,1912,Test,5
3520,West_Indies_Indies,SD Hope,51,49,6,1210,102,28.13,879,137.65,1,7,3,96,64,2017,2025,T20,8
2747,India,RR Pant,76,66,14,1209,65,23.25,950,127.26,0,3,4,111,44,2017,2024,T20,7
1710,Bangladesh,Shadman Islam,24,46,2,1207,120,27.43,2560,47.14,2,6,5,139,2,2018,2025,Test,7
2839,Australia,MS Wade,92,68,22,1202,80,26.13,896,134.15,0,3,1,95,46,2011,2024,T20,13
1457,India,SA Durani,29,50,2,1202,104,25.04,613,39.64,1,7,4,118,15,1960,1973,Test,13
2000,New_Zealand_Zealand,DN Patel,37,66,8,1200,99,20.68,2828,42.43,0,5,10,119,8,1987,1997,Test,10
1899,England,MW Tate,39,52,5,1198,100,25.48,640,71.71,1,5,5,84,14,1924,1935,Test,11
321,Bangladesh,Junaid Siddique,54,53,1,1196,100,23.0,1753,68.22,1,6,6,118,7,2007,2011,ODI,4
3021,England,PD Salt,43,40,5,1193,119,34.08,726,164.32,3,5,4,116,61,2022,2025,T20,3
1644,Australia,AF Kippax,22,34,1,1192,146,36.12,1800,39.05,2,8,1,97,1,1925,1934,Test,9
322,Bangladesh,Mohammad Rafique,123,104,16,1190,77,13.52,1657,71.81,0,2,15,110,29,1995,2007,ODI,12
1645,Australia,JHW Fingleton,18,29,1,1189,136,42.46,2177,30.82,5,3,3,53,1,1932,1938,Test,6
1900,England,CP Mead,17,26,2,1185,182,49.37,619,30.04,4,3,3,38,0,1911,1928,Test,17
1901,England,P Willey,26,50,6,1184,102,26.9,2794,42.37,2,5,2,160,4,1976,1986,Test,10
2607,West_Indies_Indies,SC Williams,31,52,3,1183,128,24.14,2367,49.97,1,3,6,171,6,1994,2002,Test,8
2153,Pakistan,Abid Ali,16,26,2,1180,215,49.16,2445,48.26,4,3,2,148,5,2019,2021,Test,2
1458,India,GS Ramchand,33,53,5,1180,109,24.58,0,0.0,2,5,6,36,1,1952,1960,Test,8
2748,India,Yuvraj Singh,58,51,9,1177,77,28.02,863,136.38,0,8,1,77,74,2007,2017,T20,10
2437,Sri_Lanka_Lanka,MDKJ Perera,22,41,3,1177,153,30.97,1629,72.25,2,7,5,151,12,2015,2021,Test,6
478,England,BM Duckett,25,25,1,1176,165,49.0,1115,105.47,3,8,3,134,16,2016,2025,ODI,9
3022,England,KP Pietersen,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,2005,2013,T20,8
194,Australia,B Lee,221,110,44,1176,59,17.81,1407,83.58,0,3,16,69,35,2000,2012,ODI,12
1646,Australia,MTG Elliott,21,36,1,1172,199,33.48,2637,44.44,3,4,5,155,4,1996,2004,Test,8
1903,England,GO Jones,34,53,4,1172,100,23.91,2165,54.13,1,6,2,155,12,2004,2006,Test,2
1902,England,Rev.DS Sheppard,22,33,2,1172,119,37.8,253,50.59,3,6,2,104,1,1950,1963,Test,13
1648,Australia,MJ North,21,35,2,1171,128,35.48,2432,48.14,5,4,5,143,5,2009,2010,Test,1
1647,Australia,R Edwards,20,32,3,1171,170,40.37,2006,43.71,2,9,4,104,1,1972,1975,Test,3
2300,South_Africa_Africa,K Verreynne,27,42,6,1165,136,32.36,2007,58.04,4,3,4,122,14,2021,2025,Test,4
1649,Australia,PM Siddle,67,94,15,1164,51,14.73,2468,47.16,0,2,17,125,4,2008,2019,Test,11
3607,Afghanistan,Hazratullah Zazai,45,45,3,1160,162,27.61,874,132.72,1,3,3,110,66,2016,2024,T20,8
3317,South_Africa_Africa,HM Amla,41,41,5,1158,97,32.16,883,131.14,0,7,2,133,23,2009,2018,T20,9
920,South_Africa_Africa,JA Rudolph,43,37,6,1157,81,37.32,1685,68.66,0,7,0,107,5,2003,2006,ODI,3
1904,England,RW Taylor,57,83,12,1156,97,16.28,4260,27.13,0,3,10,100,1,1971,1984,Test,13
2301,South_Africa_Africa,PWA Mulder,21,34,4,1153,367,38.43,1955,58.97,3,1,3,138,17,2019,2025,Test,6
2001,New_Zealand_Zealand,BW Sinclair,21,40,1,1148,138,29.43,260,47.3,3,3,5,84,0,1963,1968,Test,5
1650,Australia,JM Gregory,24,34,3,1146,119,36.96,880,60.45,2,7,3,120,3,1920,1928,Test,8
2438,Sri_Lanka_Lanka,MG Vandort,20,33,2,1144,140,36.9,2421,47.25,4,4,3,132,6,2001,2008,Test,7
2002,New_Zealand_Zealand,JA Raval,24,39,1,1143,132,30.07,2670,42.8,1,7,3,142,1,2016,2020,Test,4
1711,Bangladesh,Rajin Saleh,24,46,2,1141,89,25.93,3182,35.85,0,7,8,138,5,2003,2008,Test,5
1350,Afghanistan,Nawroz Mangal,49,48,6,1139,129,27.11,1512,75.33,2,4,4,99,27,2009,2016,ODI,7
1905,England,BT Foakes,25,46,7,1139,113,29.2,2411,47.24,2,4,3,108,7,2018,2024,Test,6
2302,South_Africa_Africa,DT Lindsay,19,31,1,1130,182,37.66,661,64.29,3,5,2,113,13,1963,1970,Test,7
2608,West_Indies_Indies,MC Carew,19,36,3,1127,109,34.15,605,41.48,1,5,1,99,1,1963,1972,Test,9
2154,Pakistan,Faisal Iqbal,26,44,2,1124,139,26.76,2545,44.16,1,8,4,136,5,2001,2010,Test,9
3521,West_Indies_Indies,AD Russell,86,75,24,1122,71,22.0,685,163.79,0,3,9,65,95,2011,2025,T20,14
1906,England,G Gunn,15,29,1,1120,122,40.0,1330,38.57,2,7,3,85,2,1907,1930,Test,23
2941,Bangladesh,Afif Hossain,70,64,9,1117,77,20.3,938,119.08,0,3,6,83,38,2018,2024,T20,6
1075,Sri_Lanka_Lanka,MF Maharoof,109,75,18,1113,69,19.52,1294,86.01,0,2,3,89,25,2004,2016,ODI,12
3522,West_Indies_Indies,SO Hetmyer,69,59,5,1112,81,20.59,882,126.07,0,6,4,73,60,2018,2025,T20,7
635,New_Zealand_Zealand,GD Phillips,44,36,8,1112,106,39.71,1091,101.92,1,5,1,80,47,2022,2025,ODI,3
636,New_Zealand_Zealand,CJ Anderson,49,45,5,1109,131,27.72,1020,108.72,1,4,4,86,55,2013,2017,ODI,4
1651,Australia,AC Bannerman,28,50,2,1108,94,23.08,265,26.41,0,8,3,77,1,1879,1893,Test,14
3608,Afghanistan,Ibrahim Zadran,44,44,6,1105,72,29.07,1030,107.28,0,8,1,97,24,2019,2024,T20,5
1459,India,IK Pathan,29,40,5,1105,102,31.57,2076,53.22,1,6,5,131,18,2003,2008,Test,5
1907,England,CC Lewis,32,51,3,1105,117,23.02,2421,45.64,1,4,6,137,6,1990,1996,Test,6
2749,India,SS Iyer,51,47,11,1104,74,30.66,811,136.12,0,8,4,90,44,2017,2023,T20,6
2439,Sri_Lanka_Lanka,BOP Fernando,22,39,4,1104,102,31.54,2224,49.64,1,7,2,126,11,2019,2025,Test,6
2609,West_Indies_Indies,BP Nash,21,33,0,1103,114,33.42,2548,43.28,2,8,0,130,3,2008,2011,Test,3
1909,England,WG Grace,22,36,2,1098,170,32.29,423,51.06,2,5,2,55,1,1880,1899,Test,19
1908,England,CJ Barnett,20,35,4,1098,129,35.41,1405,44.41,2,5,1,74,5,1933,1948,Test,15
479,England,VS Solanki,51,46,5,1097,106,26.75,1504,72.93,2,5,2,135,7,2000,2006,ODI,6
2840,Australia,TM Head,39,38,4,1095,91,32.2,688,159.15,0,5,2,114,53,2016,2025,T20,9
2841,Australia,SPD Smith,67,55,11,1094,90,24.86,872,125.45,0,5,1,96,26,2010,2024,T20,14
2155,Pakistan,Alimuddin,25,45,2,1091,109,25.37,0,0.0,2,7,6,37,0,1954,1962,Test,8
323,Bangladesh,Towhid Hridoy,38,34,3,1087,100,35.06,1343,80.93,1,9,1,65,23,2023,2025,ODI,2
1460,India,VG Kambli,17,21,1,1084,227,54.2,1823,59.46,4,3,3,124,6,1993,1995,Test,2
480,England,G Boycott,36,34,4,1082,105,36.06,2020,53.56,1,9,1,84,0,1971,1981,ODI,10
1652,Australia,PSP Handscomb,20,35,6,1079,110,37.2,2234,48.29,2,5,2,123,1,2016,2023,Test,7
1910,England,DJ Malan,22,39,0,1074,140,27.53,2622,40.96,1,9,2,146,1,2017,2022,Test,5
921,South_Africa_Africa,F Behardien,59,49,14,1074,70,30.68,1097,97.9,0,6,4,79,25,2013,2018,ODI,5
1653,Australia,AMJ Hilditch,18,34,0,1073,119,31.55,2359,44.46,2,6,3,103,4,1979,1985,Test,6
1654,Australia,SG Barnes,13,19,2,1072,234,63.05,1990,40.95,3,5,1,93,2,1938,1948,Test,10
2156,Pakistan,Waqar Hasan,21,35,1,1071,189,31.5,0,0.0,1,6,0,3,1,1952,1959,Test,7
637,New_Zealand_Zealand,NL McCullum,84,62,11,1070,65,20.98,1220,87.7,0,4,3,69,33,2009,2015,ODI,6
2303,South_Africa_Africa,JH Sinclair,25,47,1,1069,106,23.23,225,66.22,3,3,7,33,16,1896,1911,Test,15
1461,India,ED Solkar,27,48,6,1068,102,25.42,1467,31.08,1,6,1,74,3,1969,1977,Test,8
783,Pakistan,Asif Mujtaba,66,55,14,1068,113,26.04,1671,63.91,1,6,8,66,2,1986,1996,ODI,10
481,England,DW Randall,49,45,5,1067,88,26.67,1702,62.69,0,5,4,82,7,1976,1985,ODI,9
2003,New_Zealand_Zealand,MJ Santner,30,43,2,1066,126,26.0,2270,46.96,1,4,3,119,32,2015,2024,Test,9
2610,West_Indies_Indies,JKC Holt,17,31,2,1066,166,36.75,0,0.0,2,5,2,21,1,1954,1959,Test,5
3418,Sri_Lanka_Lanka,LD Chandimal,69,62,7,1066,66,19.38,1030,103.49,0,6,0,90,22,2010,2025,T20,15
1911,England,JL Smith,14,23,3,1065,184,53.25,1387,76.78,2,6,0,110,26,2024,2025,Test,1
2004,New_Zealand_Zealand,WA Young,20,36,2,1063,89,31.26,2358,45.08,0,10,1,134,5,2020,2024,Test,4
1912,England,RA Woolmer,19,34,2,1059,149,33.09,2734,38.73,3,2,4,131,2,1975,1981,Test,6
1712,Bangladesh,Mohammad Rafique,33,63,6,1059,111,18.57,1630,64.96,1,4,8,110,34,2000,2008,Test,8
1226,West_Indies_Indies,DS Smith,47,45,2,1059,107,24.62,1506,70.31,1,5,4,110,9,2003,2013,ODI,10
2005,New_Zealand_Zealand,R Ravindra,15,30,2,1057,240,37.75,1882,56.16,2,4,1,115,11,2021,2024,Test,3
2157,Pakistan,Saleem Yousuf,32,44,5,1055,91,27.05,1865,48.31,0,5,2,100,4,1982,1990,Test,8
638,New_Zealand_Zealand,IDS Smith,98,77,16,1055,62,17.29,1061,99.43,0,3,7,93,10,1980,1992,ODI,12
784,Pakistan,Agha Salman,38,31,6,1054,134,42.16,1061,99.34,1,6,0,92,22,2022,2025,ODI,3
482,England,C Kieswetter,46,40,5,1054,107,30.11,1172,89.93,1,5,4,106,32,2010,2013,ODI,3
1913,England,C White,30,50,7,1052,121,24.46,2437,43.16,1,5,8,119,12,1994,2002,Test,8
1351,Afghanistan,Javed Ahmadi,47,44,0,1049,81,23.84,1380,76.01,0,7,2,123,16,2010,2021,ODI,11
639,New_Zealand_Zealand,KD Mills,170,101,34,1047,54,15.62,1282,81.66,0,2,8,76,38,2001,2015,ODI,14
3419,Sri_Lanka_Lanka,NLTC Perera,80,70,21,1047,58,21.36,714,146.63,0,2,8,76,53,2010,2021,T20,11
640,New_Zealand_Zealand,JM How,41,37,1,1046,139,29.05,1572,66.53,1,7,3,117,7,2005,2011,ODI,6
2158,Pakistan,Sarfraz Nawaz,55,72,13,1045,90,17.71,1298,50.84,0,4,6,90,1,1969,1984,Test,15
1713,Bangladesh,Nasir Hossain,19,32,2,1044,100,34.8,1917,54.46,1,6,2,119,10,2011,2017,Test,6
1914,England,DP Sibley,22,39,3,1042,133,28.94,3045,34.22,2,5,6,114,1,2019,2021,Test,2
1462,India,S Madan Lal,39,62,16,1042,74,22.65,1007,47.36,0,5,7,70,1,1974,1986,Test,12
2006,New_Zealand_Zealand,DR Flynn,24,45,5,1038,95,25.95,2580,40.23,0,6,8,135,4,2008,2013,Test,5
1227,West_Indies_Indies,AD Russell,56,47,9,1034,92,27.21,794,130.22,0,4,6,94,57,2011,2019,ODI,8
1352,Afghanistan,Azmatullah Omarzai,39,31,9,1033,149,46.95,1054,98.0,1,8,2,69,45,2021,2025,ODI,4
195,Australia,JP Faulkner,69,52,22,1032,116,34.4,990,104.24,1,4,4,83,29,2013,2017,ODI,4
1655,Australia,MG Hughes,53,70,8,1032,72,16.64,2233,46.21,0,2,10,96,17,1985,1994,Test,9
2304,South_Africa_Africa,K Rabada,71,107,20,1031,47,11.85,2059,50.07,0,0,20,135,16,2015,2025,Test,10
1076,Sri_Lanka_Lanka,PW Hasaranga,66,54,8,1030,80,22.39,952,108.19,0,4,3,90,36,2017,2025,ODI,8
2440,Sri_Lanka_Lanka,RS Madugalle,21,39,4,1029,103,29.4,1869,38.89,1,7,4,93,2,1982,1988,Test,6
2159,Pakistan,Abdul Qadir,67,77,11,1029,61,15.59,2247,42.1,0,3,7,99,16,1977,1990,Test,13
2305,South_Africa_Africa,KC Wessels,16,29,2,1027,118,38.03,2538,40.46,2,6,2,107,1,1992,1994,Test,2
1463,India,KD Karthik,26,42,1,1025,129,25.0,2080,49.27,1,7,4,134,4,2004,2018,Test,14
1077,Sri_Lanka_Lanka,DSBP Kuruppu,54,52,1,1022,72,20.03,1978,51.66,0,4,3,79,4,1983,1990,ODI,7
1464,India,S Abid Ali,29,53,3,1018,81,20.36,936,52.45,0,6,3,77,0,1967,1974,Test,7
196,Australia,SK Warne,193,106,28,1016,55,13.02,1411,72.0,0,1,10,60,13,1993,2003,ODI,10
2611,West_Indies_Indies,AF Rae,15,24,2,1016,109,46.18,0,0.0,4,4,1,30,4,1948,1953,Test,5
3609,Afghanistan,Samiullah Shinwari,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37,2010,2022,T20,12
2160,Pakistan,Fawad Alam,19,30,4,1011,168,38.88,2170,46.58,5,2,3,112,3,2009,2022,Test,13
2007,New_Zealand_Zealand,KJ Wadsworth,33,51,4,1010,80,21.48,1296,43.67,0,5,5,88,1,1969,1976,Test,7
2161,Pakistan,Waqar Younis,87,120,21,1010,45,10.2,2106,47.95,0,0,21,133,16,1989,2003,Test,14
1465,India,J Srinath,67,92,21,1009,76,14.21,2037,49.53,0,4,13,110,8,1991,2002,Test,11
2306,South_Africa_Africa,SJ Snooke,26,46,1,1008,103,22.4,600,43.16,1,5,1,49,0,1906,1923,Test,17
40,India,SM Patil,45,42,1,1005,84,24.51,1223,82.17,0,9,4,74,12,1980,1986,ODI,6
324,Bangladesh,Rajin Saleh,43,43,1,1005,108,23.92,1833,54.82,1,6,5,94,3,2003,2006,ODI,3
1228,West_Indies_Indies,KOA Powell,46,44,0,1005,83,22.84,1278,78.63,0,9,4,115,15,2009,2018,ODI,9
2162,Pakistan,Umar Akmal,16,30,2,1003,129,35.82,1520,65.98,1,6,1,117,17,2009,2011,Test,2
2612,West_Indies_Indies,PV Simmons,26,47,2,1002,110,22.26,1933,51.83,1,4,4,139,4,1988,1997,Test,9
1656,Australia,EJM Cowan,18,32,0,1001,136,31.28,2425,41.27,1,6,2,123,2,2011,2013,Test,2
2008,New_Zealand_Zealand,JG Bracewell,41,60,11,1001,110,20.42,2503,39.99,1,4,13,82,4,1980,1990,Test,10
3318,South_Africa_Africa,H Klaasen,58,53,10,1000,81,23.25,705,141.84,0,5,2,72,52,2018,2024,T20,6
1657,Australia,IWG Johnson,45,66,12,1000,77,18.51,490,37.34,0,6,10,53,2,1946,1956,Test,10
3210,Pakistan,Iftikhar Ahmed,66,55,14,998,62,24.34,773,129.1,0,4,2,66,44,2016,2024,T20,8
1658,Australia,JM Taylor,20,28,0,997,108,35.6,1170,49.31,1,8,1,88,0,1920,1926,Test,6
1915,England,AE Stoddart,16,30,2,996,173,35.57,64,51.56,2,3,3,31,5,1888,1898,Test,10
1916,England,KS Duleepsinhji,12,19,2,995,173,58.52,852,48.82,3,5,0,59,1,1929,1931,Test,2
2613,West_Indies_Indies,JD Campbell,23,46,6,994,68,24.85,1875,53.01,0,3,4,120,9,2019,2025,Test,6
1466,India,AV Mankad,22,42,3,991,97,25.41,626,35.46,0,6,3,46,0,1969,1978,Test,9
325,Bangladesh,Khaled Mahmud,77,72,3,991,50,14.36,1461,67.83,0,1,9,90,7,1998,2006,ODI,8
1917,England,GE Tyldesley,14,20,2,990,122,55.0,178,29.21,3,6,2,37,2,1921,1929,Test,8
1918,England,KS Ranjitsinhji,15,26,4,989,175,44.95,0,0.0,2,6,2,19,0,1896,1902,Test,6
483,England,PD Salt,33,31,0,988,122,31.87,861,114.75,1,5,1,134,20,2021,2025,ODI,4
3211,Pakistan,Kamran Akmal,58,53,6,987,73,21.0,825,119.63,0,5,7,100,31,2006,2017,T20,11
1919,England,LC Braund,23,41,3,987,104,25.97,0,0.0,3,2,7,88,2,1901,1908,Test,7
197,Australia,MJ Slater,42,42,1,987,73,24.07,1634,60.4,0,9,3,95,2,1993,1997,ODI,4
2942,Bangladesh,Najmul Hossain Shanto,50,48,5,987,71,22.95,905,109.06,0,4,0,89,20,2019,2025,T20,6
641,New_Zealand_Zealand,BL Cairns,78,65,6,987,60,16.72,941,104.88,0,2,6,70,41,1974,1985,ODI,11
785,Pakistan,Imad Wasim,55,40,17,986,63,42.86,894,110.29,0,5,1,91,19,2015,2020,ODI,5
2614,West_Indies_Indies,KA Edwards,17,32,1,986,121,31.8,2052,48.05,2,8,4,111,12,2011,2014,Test,3
2842,Australia,CL White,47,44,14,984,85,32.8,740,132.97,0,5,3,71,44,2007,2014,T20,7
3523,West_Indies_Indies,ADS Fletcher,60,57,7,984,84,19.68,892,110.31,0,6,9,67,53,2008,2024,T20,16
1920,England,R Subba Row,13,22,1,984,137,46.85,0,0.0,3,4,0,44,1,1958,1961,Test,3
2307,South_Africa_Africa,JW Zulch,16,32,2,983,150,32.76,837,42.29,2,4,0,54,1,1910,1921,Test,11
3319,South_Africa_Africa,GC Smith,33,33,2,982,89,31.67,770,127.53,0,5,1,123,26,2005,2011,T20,6
2163,Pakistan,Ahmed Shehzad,13,25,1,982,176,40.91,1926,50.98,3,4,1,99,8,2013,2017,Test,4
1467,India,BK Kunderan,18,34,4,981,192,32.7,335,30.44,2,3,1,139,2,1960,1967,Test,7
1921,England,FS Trueman,67,85,14,981,39,13.81,523,42.82,0,0,11,58,25,1952,1965,Test,13
642,New_Zealand_Zealand,MJ Horne,50,48,0,980,74,20.41,1515,64.68,0,5,3,99,5,1997,2002,ODI,5
1229,West_Indies_Indies,R Powell,51,48,3,979,101,21.75,1153,84.9,1,2,3,63,42,2016,2023,ODI,7
1659,Australia,B Yardley,33,54,4,978,74,19.56,1469,46.97,0,4,8,114,5,1978,1983,Test,5
2943,Bangladesh,Sabbir Rahman,48,47,5,977,80,23.26,819,119.29,0,4,3,92,29,2014,2022,T20,8
2308,South_Africa_Africa,IJ Siedle,18,34,0,977,141,28.73,0,0.0,1,5,3,38,1,1928,1936,Test,8
326,Bangladesh,Akram Khan,44,44,2,976,65,23.23,1721,56.71,0,5,3,73,2,1988,2003,ODI,15
327,Bangladesh,Naeem Islam,59,51,15,975,84,27.08,1473,66.19,0,5,5,84,13,2008,2014,ODI,6
922,South_Africa_Africa,RR Hendricks,38,38,2,974,102,27.05,1264,77.05,1,7,2,101,9,2018,2024,ODI,6
1468,India,BP Patel,21,38,5,972,115,29.45,794,43.07,1,5,0,86,7,1974,1977,Test,3
2703,Afghanistan,Rahmat Shah,11,21,0,970,234,46.19,1820,53.29,3,5,4,117,6,2018,2025,Test,7
1714,Bangladesh,Junaid Siddique,19,37,0,969,106,26.18,2341,41.39,1,7,2,123,1,2008,2012,Test,4
786,Pakistan,Waqar Younis,262,139,45,969,37,10.3,1445,67.05,0,0,15,58,21,1989,2003,ODI,14
2009,New_Zealand_Zealand,PG Fulton,23,39,1,967,136,25.44,2462,39.27,2,5,3,117,18,2006,2014,Test,8
787,Pakistan,Fawad Alam,38,36,12,966,114,40.25,1297,74.47,1,6,3,59,6,2007,2015,ODI,8
643,New_Zealand_Zealand,SA Thomson,56,52,10,964,83,22.95,1427,67.55,0,5,2,63,8,1990,1996,ODI,6
