,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format,Careerspan
7,India,Yuvraj Singh,301,275,39,8609,150,36.47,9846,87.43,14,52,18,896,153,2000,2017,ODI,17
592,New_Zealand_Zealand,LRPL Taylor,236,220,39,8607,181,47.55,10330,83.32,21,51,9,713,147,2006,2022,ODI,16
2555,West_Indies_Indies,IVA Richards,121,182,12,8540,291,50.23,9613,69.77,24,45,10,952,84,1974,1991,Test,17
1043,Sri_Lanka_Lanka,MS Atapattu,268,259,32,8529,132,37.57,12594,67.72,11,59,13,734,15,1990,2007,ODI,17
1401,India,V Sehwag,103,178,6,8503,319,49.43,10346,82.18,23,31,16,1219,90,2001,2013,Test,12
152,Australia,ME Waugh,244,236,20,8500,173,39.35,11053,76.9,18,50,16,651,57,1988,2002,ODI,14
1806,England,AJ Stewart,133,235,21,8463,190,39.54,17389,48.66,15,45,14,1121,10,1990,2003,Test,13
300,Bangladesh,Tamim Iqbal,243,240,12,8357,158,36.65,10642,78.52,14,56,19,925,103,2007,2023,ODI,16
1807,England,DI Gower,117,204,18,8231,215,44.25,16268,50.59,18,39,7,979,10,1978,1992,Test,14
2405,Sri_Lanka_Lanka,AD Mathews,119,212,27,8214,200,44.4,16970,48.4,16,45,6,835,90,2009,2025,Test,16
1808,England,KP Pietersen,104,181,8,8181,227,47.28,13255,61.72,23,35,10,985,81,2005,2014,Test,9
1809,England,G Boycott,108,193,23,8114,246,47.72,20528,35.69,22,42,10,765,8,1964,1982,Test,18
894,South_Africa_Africa,HM Amla,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53,2008,2019,ODI,11
895,South_Africa_Africa,HH Gibbs,248,240,16,8094,175,36.13,9721,83.26,21,37,22,930,128,1996,2010,ODI,14
2556,West_Indies_Indies,GS Sobers,93,160,21,8032,365,57.78,4063,53.58,26,30,12,593,32,1954,1974,Test,20
1553,Australia,ME Waugh,128,209,17,8029,153,41.81,15360,52.27,20,47,19,844,41,1991,2002,Test,11
745,Pakistan,Shahid Afridi,393,364,27,8027,124,23.81,6864,116.94,6,39,29,725,349,1996,2015,ODI,19
593,New_Zealand_Zealand,SP Fleming,279,268,21,8007,134,32.41,11214,71.4,8,49,17,822,63,1994,2007,ODI,13
