,Country,Player,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes,Start_Year,End/Current_Year,Format
62,India,UT Yadav,9,2,1,22,20,22.0,21,104.76,0,0,0,2,0,2012,2022,T20
63,India,AB Dinda,9,2,1,22,19,22.0,24,91.66,0,0,0,1,0,2009,2012,T20
64,India,S Sreesanth,10,3,2,20,19,20.0,14,142.85,0,0,1,4,0,2006,2008,T20
65,India,Ramandeep Singh,2,1,0,15,15,15.0,6,250.0,0,0,0,1,1,2024,2024,T20
66,India,AB Agarkar,4,2,0,15,14,7.5,11,136.36,0,0,0,2,0,2006,2007,T20
67,India,MK Tiwary,3,1,0,15,15,15.0,17,88.23,0,0,0,0,0,2011,2012,T20
68,India,N Rana,2,2,0,15,9,7.5,27,55.55,0,0,0,0,0,2021,2021,T20
69,India,Mohammed Siraj,16,4,2,14,7,7.0,16,87.5,0,0,1,1,0,2017,2024,T20
70,India,Z Khan,17,4,2,13,9,6.5,10,130.0,0,0,0,0,1,2006,2012,T20
71,India,NA Saini,11,3,3,12,11,0.0,11,109.09,0,0,0,2,0,2019,2021,T20
72,India,DC Jurel,4,3,0,12,6,4.0,23,52.17,0,0,0,1,0,2024,2025,T20
73,India,NV Ojha,2,2,0,12,10,6.0,27,44.44,0,0,0,2,0,2010,2010,T20
74,India,PP Ojha,6,1,1,10,10,0.0,6,166.66,0,0,0,0,1,2009,2010,T20
75,India,SR Tendulkar,1,1,0,10,10,10.0,12,83.33,0,0,0,2,0,2006,2006,T20
76,India,I Sharma,14,3,2,8,5,8.0,9,88.88,0,0,1,1,0,2008,2013,T20
77,India,JJ Bumrah,70,8,5,8,7,2.66,14,57.14,0,0,2,1,0,2016,2024,T20
78,India,P Kumar,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0,2008,2012,T20
79,India,Mohammed Shami,25,5,3,6,6,3.0,10,60.0,0,0,1,0,1,2014,2025,T20
80,India,YS Chahal,80,6,4,6,3,3.0,13,46.15,0,0,0,0,0,2016,2023,T20
81,India,Umran Malik,8,2,2,5,4,0.0,2,250.0,0,0,0,1,0,2022,2023,T20
82,India,RD Chahar,6,1,0,5,5,5.0,5,100.0,0,0,0,1,0,2019,2021,T20
83,India,Mukesh Kumar,17,4,3,5,4,5.0,5,100.0,0,0,1,1,0,2023,2024,T20
84,India,Parvez Rasool,1,1,0,5,5,5.0,6,83.33,0,0,0,0,0,2017,2017,T20
85,India,C Sakariya,2,1,1,5,5,0.0,9,55.55,0,0,0,0,0,2021,2021,T20
