,Country,Player,Span,Matches,Innings,Not_Out,Runs,Highest_score,Average,Ball_Faced,Strike_Rate,Hundreds,Fiftys,Zeros,Fours,Sixes
64,India,S Sreesanth,2006-2008,10,3,2,20,19*,20.00,14,142.85,-,-,1,4,0
65,India,Ramandeep Singh,2024-2024,2,1,-,15,15,15.00,6,250.00,-,-,-,1,1
66,India,AB Agarkar,2006-2007,4,2,-,15,14,7.50,11,136.36,-,-,-,2,0
67,India,MK Tiwary,2011-2012,3,1,-,15,15,15.00,17,88.23,-,-,-,0,0
68,India,N Rana,2021-2021,2,2,-,15,9,7.50,27,55.55,-,-,-,0,0
69,India,Mohammed Siraj,2017-2024,16,4,2,14,7*,7.00,16,87.50,-,-,1,1,0
70,India,Z Khan,2006-2012,17,4,2,13,9,6.50,10,130.00,-,-,-,0,1
71,India,NA Saini,2019-2021,11,3,3,12,11*,-,11,109.09,-,-,-,2,0
72,India,DC Jurel,2024-2025,4,3,-,12,6,4.00,23,52.17,-,-,-,1,0
73,India,NV Ojha,2010-2010,2,2,-,12,10,6.00,27,44.44,-,-,-,2,0
74,India,PP Ojha,2009-2010,6,1,1,10,10*,-,6,166.66,-,-,-,0,1
75,India,SR Tendulkar,2006-2006,1,1,-,10,10,10.00,12,83.33,-,-,-,2,0
76,India,I Sharma,2008-2013,14,3,2,8,5*,8.00,9,88.88,-,-,1,1,0
77,India,JJ Bumrah,2016-2024,70,8,5,8,7,2.66,14,57.14,-,-,2,1,0
78,India,P Kumar,2008-2012,10,3,-,7,6,2.33,16,43.75,-,-,1,0,0
79,India,Mohammed Shami,2014-2025,25,5,3,6,6,3.00,10,60.00,-,-,1,0,1
80,India,YS Chahal,2016-2023,80,6,4,6,3*,3.00,13,46.15,-,-,-,0,0
81,India,Umran Malik,2022-2023,8,2,2,5,4*,-,2,250.00,-,-,-,1,0
82,India,RD Chahar,2019-2021,6,1,-,5,5,5.00,5,100.00,-,-,-,1,0
83,India,Mukesh Kumar,2023-2024,17,4,3,5,4*,5.00,5,100.00,-,-,1,1,0
84,India,Parvez Rasool,2017-2017,1,1,-,5,5,5.00,6,83.33,-,-,-,0,0
85,India,C Sakariya,2021-2021,2,1,1,5,5*,-,9,55.55,-,-,-,0,0
86,India,RP Singh,2007-2009,10,2,2,3,2*,-,3,100.00,-,-,-,0,0
87,India,MM Sharma,2014-2015,8,2,2,3,3*,-,7,42.85,-,-,-,0,0
88,India,R Vinay Kumar,2010-2013,9,1,1,2,2*,-,4,50.00,-,-,-,0,0
89,India,DS Kulkarni,2016-2016,2,1,1,1,1*,-,1,100.00,-,-,-,0,0
90,India,Sandeep Sharma,2015-2015,2,1,1,1,1*,-,1,100.00,-,-,-,0,0
91,India,MP Yadav,2024-2024,3,1,1,1,1*,-,1,100.00,-,-,-,0,0
92,India,R Dhawan,2016-2016,1,1,1,1,1*,-,2,50.00,-,-,-,0,0
93,India,KK Ahmed,2018-2024,18,2,2,1,1*,-,2,50.00,-,-,-,0,0
94,India,CV Varun,2021-2025,18,3,1,1,1*,0.50,6,16.66,-,-,2,0,0
95,Australia,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
96,Australia,DA Warner,2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122
97,Australia,AJ Finch,2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
98,Australia,GJ Maxwell,2012-2025,122,112,17,2755,145*,29.00,1770,155.64,5,11,5,231,145
99,Australia,MR Marsh,2011-2025,71,68,11,1723,92*,30.22,1273,135.34,-,9,3,149,82
100,Australia,SR Watson,2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83
101,Australia,MP Stoinis,2015-2024,74,61,22,1245,78,31.92,838,148.56,-,5,2,99,63
102,Australia,MS Wade,2011-2024,92,68,22,1202,80,26.13,896,134.15,-,3,1,95,46
103,Australia,TM Head,2016-2025,39,38,4,1095,91,32.20,688,159.15,-,5,2,114,53
104,Australia,SPD Smith,2010-2024,67,55,11,1094,90,24.86,872,125.45,-,5,1,96,26
105,Australia,CL White,2007-2014,47,44,14,984,85*,32.80,740,132.97,-,5,3,71,44
106,Australia,JP Inglis,2022-2025,35,34,6,878,110,31.35,533,164.72,2,2,3,89,37
107,Australia,TH David,2022-2025,44,37,11,858,102*,33.00,494,173.68,1,3,4,61,62
108,Australia,DJ Hussey,2008-2012,39,36,3,756,88*,22.90,623,121.34,-,3,4,41,34
109,Australia,MEK Hussey,2005-2012,38,30,11,721,60*,37.94,529,136.29,-,4,1,58,25
110,Australia,DJM Short,2018-2020,23,23,2,642,76,30.57,540,118.88,-,4,1,71,15
111,Australia,C Green,2022-2025,19,18,4,503,62*,35.92,310,162.25,-,6,-,39,31
112,Australia,MJ Clarke,2005-2010,34,28,5,488,67,21.21,473,103.17,-,1,2,29,10
113,Australia,GJ Bailey,2012-2016,29,25,7,470,63,26.11,334,140.71,-,2,1,37,20
114,Australia,BJ Haddin,2006-2014,34,29,6,402,47,17.47,351,114.52,-,-,2,30,13
115,Australia,RT Ponting,2005-2009,17,16,2,401,98*,28.64,302,132.78,-,2,2,41,11
116,Australia,MC Henriques,2009-2021,24,21,4,355,62*,20.88,285,124.56,-,2,-,17,15
117,Australia,BR McDermott,2018-2023,25,23,4,342,54,18.00,343,99.70,-,2,3,17,13
118,Australia,A Symonds,2005-2009,14,11,4,337,85*,48.14,199,169.34,-,2,2,33,10
119,Australia,ML Hayden,2005-2007,9,9,3,308,73*,51.33,214,143.92,-,4,-,37,13
120,Australia,MW Short,2023-2024,14,13,-,293,66,22.53,179,163.68,-,1,1,29,15
